name;abr
Assiniboine;sio-dkt
Casuarina Coast Asmat;ngf
American Sign Language;sgn
Auslan;sgn
Cishingini;nic-kam
Abishira;qfa-iso
Buruwai;ngf
Nsari;nic-bbe
Ashkun;nur-sou
Asilulu;poz-cma
Xingú Asuriní;tup-gua
Dano;paa-kag
Austrian Sign Language;sgn
Asuri;mun
Ipulo;nic-tvc
Asturian;roa-asl
Tocantins Asurini;tup-gua
Asoa;csu-maa
Australian Aboriginal Sign Language;sgn
Muratayak;ngf-fin
Yaosakor Asmat;ngf
As;poz-hce
Pele-Ata;paa
Zaiwa;tbq-brm
Atsahuaca;sai-pan
Ata Manobo;mno
Atemble;ngf-mad
Okpela;alv-yek
Attié;alv-lag
Atikamekw;alg
Ati;phi
Mount Iraya Agta;phi
Ata;phi
Atong (Cameroon);nic-grs
Pudtol Atta;phi
Aralle-Tabulahan;poz-ssw
Waimiri-Atroari;sai-car
Gros Ventre;alg-ara
Pamplona Atta;phi
Reel;sdv-dnu
Northern Altai;trk-ssb
Atsugewi;nai-pal
Aneityum;poz-vns
Arta;phi
Asumboa;poz-tem
Alugu;tbq-urp
Huaorani;qfa-iso
Anuta;poz-pnp
Aguna;alv-gbe
Aushi;bnt-sbi
Anuki;poz-ocw
Awjila;ber
Heyo;qfa-tor
Aulua;poz-vnc
Asu;alv-ngb
Molmo One;qfa-tor
Auyokawa;cdc-wst
Makayam;ngf
Anus;poz-ocw
Aruek;qfa-tor
Austral;poz-pep
Auye;ngf
Awyi;paa-brd
Aurá;tup-gua
Auyana;paa-kag
Uzbeki Arabic;sem-arb
Avau;poz-ocw
Alviri-Vidari;xme
Avikam;alv-lag
Kotava;art
Angkamuthi;aus-pmn
Avatime;alv-ktg
Agavotaguerra;awd
Aushiri;sai-zap
Au;qfa-tor
Avokaya;csu-mma
Avá-Canoeiro;tup-gua
Awadhi;inc-hie
Awa (New Guinea);paa-kag
Cicipu;nic-kam
Awetí;tup
Anguthimri;aus-pam
Awbono;ngf
Aekyom;ngf
Awabakal;aus-pam
Arawum;ngf-mad
Awngi;cus-cen
Awak;alv-wjk
Awera;paa-lkp
South Awyu;ngf
Araweté;tup-gua
Central Awyu;ngf
Jair Awyu;ngf
Awun;paa-spk
Awara;ngf-fin
Edera Awyu;ngf
Abipón;sai-guc
Ayerrerenge;aus-pam
Aka (Central Africa);bnt-ngn
Lower Southern Aranda;aus-pam
Middle Armenian;hyx
Xârâgurè;poz-cln
Awar;paa
Ayizo;alv-pph
Ayabadhu;aus-pmn
Ayere;alv-aah
Nyanga (Togo);alv-gng
Leyigha;nic-uce
Akuku;alv-nwd
Libyan Arabic;sem-arb
Yemeni Arabic;sem-arb
Ayoreo;sai-zam
North Mesopotamian Arabic;sem-arb
Ayi;paa-spk
Sorsogon Ayta;phi
Bataan Ayta;phi
Ayu;alv
Tayabas Ayta;phi
Maybrat;paa-wpa
Azha;tbq-axi
Eastern Durango Nahuatl;azc-dur
San Pedro Amuzgos Amuzgo;omq
Ipalapa Amuzgo;omq
Western Durango Nahuatl;azc-dur
Awing;nic-nge
Faire Atta;phi
Highland Puebla Nahuatl;azc-nah
