name;abr 
Chimalapa Zoque;nai-miz
Chimariko;qfa-iso
Chimila;cba
Chinali;inc
Chinese Pidgin English;crp
Chinook Jargon;crp
Chinook;nai-ckn
Chipaya;sai-ucp
Chipewyan;ath-nor
Chiquihuitlán Mazatec;omq-maz
Chiquitano;qfa-iso
Chiricahua;apa
Chiripá;tup-gua
Chiru;tbq-kuk
Chitimacha;qfa-iso
Chittagonian;inc-bas
Chiwere;sio-msv
Choapan Zapotec;omq-zap
Chocangaca;sit-tib
Chochotec;omq-pop
Choctaw;nai-mus
Chodri;inc-bhi
Chokwe;bnt-clu
Chol;myn
Chong;mkh-pea
Chopi;bnt-bso
Chothe Naga;tbq-kuk
Chrau;mkh-ban
Chru;cmc
Chuabo;bnt-mak
Chuanqiandian Cluster Miao;hmn
Chuave;ngf
Chug;sit-khc
Chuj;myn
Chuka;bnt-kka
Chukchi;qfa-ckn
Chulym;trk-ssb
Chumburung;alv-gng
Churahi;him
Chut;mkh-vie
Chuukese;poz-mic
Chuvan;qfa-yuk
Chuvash;cv
Ci Gbe;alv-gbe
Cia-Cia;poz-mun
Cibak;cdc-cbm
Cicipu;nic-kam
Cimbrian;gmw-hgm
Cinamiguin Manobo;mno
Cinda-Regi-Tiyal;nic-kmk
Cineni;cdc-cbm
Cinta Larga;tup
Cishingini;nic-kam
Classical Gaelic;cel-gae
Classical Mandaic;sem-ase
Classical Mongolian;xgn-cen
Classical Nahuatl;azc-nah
Classical Newar;sit-new
Classical Quechua;qwe
Classical Syriac;sem-are
Classical Tibetan;sit-tib
Coast Miwok;nai-you
Coastal Kadazan;poz-san
Coastal Konjo;poz
Coatecas Altas Zapotec;omq-zap
Coatepec Nahuatl;azc-nah
Coatlán Mixe;nai-miz
Coatlán Zapotec;omq-zap
Coatzospan Mixtec;omq-mxt
Cocama;tup
Cochimi;nai-yuc
Cocopa;nai-yuc
Cocos Islands Malay;crp
Coeur d'Alene;sal
Cofán;qfa-iso
Cogui;cba
Colombian Sign Language;sgn
Colonia Tovar German;gmw-hgm
Columbia-Wenatchi;sal
Comaltepec Chinantec;omq-chi
Comanche;azc-num
Como Karim;nic-jkn
Comox;sal
Coos;nai-coo
Copainalá Zoque;nai-miz
Copala Triqui;omq-tri
Coptic;egx
Coquille;ath-pco
Cora;azc
Cori;nic-plc
Cornish;kw
Corsican;co
Cosoleacaque Nahuatl;azc-nah
Costa Rican Sign Language;sgn
Cotabato Manobo;mno
Cowlitz;sal
Coyaima;sai-car
Coyotepec Popoloca;omq-pop
Coyutla Totonac;nai-ttn
Cree;cr
Creek;nai-mus
Crimean Tatar;trk-kcu
Cross River Mbembe;nic-uce
Crow;sio-mor
Cruzeño;nai-chu
Cốông;tbq-bis
Cua;mkh-ban
Cuban Sign Language;sgn
Cubeo;sai-tuc
Cuiba;sai-guh
Cuitlatec;qfa-iso
Culina;auf
Cumanagoto;sai-cpc
Cun;qfa-lic
Cung;nic-bbe
Cupeño;azc-cup
Curonian;bat
Curripaco;awd-nwk
Cutchi-Swahili;crp
Cuvok;cdc-cbm
Cuyamecalco Mixtec;omq-mxt
Cuyunon;phi
Cwi Bwamu;nic-bwa
Cypriot Arabic;sem-arb
Czech Sign Language;sgn
Czech;cs
Dâw;sai-nad
Da'a Kaili;poz-kal
Daai Chin;tbq-kuk
Daakaka;poz-vnc
Daasanach;cus-eas
Daba;cdc-cbm
Dabe;paa-tkw
Dacian;ine
Dadi Dadi;aus-pam
Dadibi;ngf
Dadiya;alv-wjk
Daga;ngf
Dagaari Dioula;nic-mre
Dagba;csu-sar
Dagbani;nic-dag
Dagik;alv-tal
Dagoman;aus-yng
Dahalik;sem-eth
Dahalo;cus
Daho-Doo;kro-wee
Dai;poz-tim
Dair;nub-hil
Dairi Batak;btk
Dakota;sio-dkt
Dakpa;sit-ebo
Dalmatian;roa-dal
Daloa Bété;kro-bet
Dama (Nigeria);alv-mbm
Damakawa;nic-knn
Dambi;poz-ocw
Dampelas;poz-tot
Dan;dmn-mda
Danaru;ngf-mad
Dandami Maria;dra-mdy
Dangaléat;cdc-est
Danish Sign Language;sgn
Danish;da
Dano;paa-kag
Danu;tbq-brm
Danuwar;inc-bhi
Dao;ngf
Daonda;paa-brd
Dar Daju Daju;sdv-daj
Dar Fur Daju;sdv-daj
Dar Sila Daju;sdv-daj
Darai;inc-bhi
Dargwa;cau-drg
Darkinjung;aus-yuk
Darlong;tbq-kuk
Daro-Matu Melanau;poz-bnn
Dass;cdc-wst
Datooga;sdv-nis
Daungwurrung;aus-pam
Daur;xgn
Davawenyo;phi
Dawawa;poz-ocw
Dawera-Daweloor;poz-tim
Dawro;omv-nom
Day;alv-mbd
Dayi;aus-yol
Dazaga;ssa-sah
Deccani;inc-hnd
Dedua;ngf
Defaka;nic
Defi Gbe;alv-gbe
Deg Xinag;ath-nor
Deg;nic-gnw
Degema;alv-dlt
Degenan;ngf-fin
Dehwari;ira-swi
Delo;nic-gne
Dem;paa
Dema;bnt-sho
Demisa;paa-egb
Demta;paa-sen
Dení;auf
Dena'ina;ath-nor
Dendi;son
Dengese;bnt-tet
Dengka;poz-tim
Deno;cdc-wst
Denya;nic-mam
Deori;tbq-bdg
Desano;sai-tuc
Desiya;inc-eas
Dewoin;kro-wkr
Dghwede;cdc-cbm
Dhaiso;bnt-kka
Dhalandji;aus-psw
Dhangu;aus-yol
Dharug;aus-yuk
Dhatki;raj
Dhimal;sit-dhi
Dhivehi;dv
Dhodia;inc-bhi
Dhofari Arabic;sem-arb
Dhudhuroa;aus-pam
Dhundhari;raj
Dhungaloo;aus-pam
Dhurga;aus-yuk
Dhuwal;aus-yol
Dhuwaya;aus-yol
Dia;qfa-tor
Dibabawon Manobo;mno
Dibiyaso;ngf
Dibo;alv-ngb
Dicamay Agta;phi
Didinga;sdv
Dieri;aus-kar
Digo;bnt-mij
Dii;alv-dur
Dijim-Bwilim;alv-wjk
Dilling;nub-hil
Dimasa;tbq-bdg
Dimbong;bnt-baf
Dineor;paa-tkw
Ding;bnt-bdz
Dinka;sdv-dnu
Diodio;poz-ocw
Dirasha;cus-eas
Diri;cdc-wst
Dirim;nic-dak
Disa;csu-bgr
Ditidaht;wak
Diuxi-Tilantongo Mixtec;omq-mxt
Dixon Reef;poz-vnc
Dizin;omv-diz
Djadjawurrung;aus-pam
Djambarrpuyngu;aus-yol
Djangun;aus-pmn
Djauan;aus-gun
Djawi;aus-nyu
Djimini;alv-tdj
Djinang;aus-yol
Djinba;aus-yol
Djiwarli;aus-psw
Dobel;poz
Dobu;poz-ocw
Doe;bnt-ruv
Doga;poz-ocw
Doghoro;ngf
Dogosé;nic-gur
Dogri;him
Dogrib;ath-nor
Dogul Dom;nic-npd
Doka;nic-plc
Doko-Uyanga;nic-ucr
Dolgan;trk-nsb
Dom;ngf
Domaaki;inc-wes
Domari;inc-cen
Dominican Sign Language;sgn
Dompo;alv-gng
Domu;ngf
Domung;ngf-fin
Dondo;poz-tot
Dong;nic-dak
Dongo;nic-mbc
Dongolawi;nub
Dongxiang;xgn-shr
Donno So Dogon;nic-dge
Doondo;bnt-kng
Dori'o;poz-sls
Dorig;poz-vnn
Dorze;omv-nom
Doso;paa
Doteli;inc-pah
Doura;poz-ocw
Doutai;paa-lkp
Doyayo;alv-dur
Drehu;poz-cln
Drung;sit-nng
Duala;bnt-saw
Duano;poz-mly
Duau;poz-ocw
Dubu;paa-pau
Dugun;alv-dur
Duguri;nic-jrw
Dugwor;cdc-cbm
Duhwa;cdc-wst
Dulbu;nic-jrn
Duli;alv-ada
Duma;bnt-nze
Dumbea;poz-cln
Dumi;sit-kiw
Dumpas;poz-san
Dumun;ngf-mad
Duna;paa
Dungan;zhx-man
Dungra Bhil;inc-bhi
Dungu;nic-kau
Dupaningan Agta;phi
Dura;sit-gma
Duri;poz-ssw
Duriankere;ngf-sbh
Duruwa;dra-pgd
Dusner;poz-hce
Dusun Deyah;poz-bre
Dusun Malang;poz-bre
Dusun Witu;poz-bre
Dutch Sign Language;sgn
Dutch;nl
Duun;dmn-smg
Duupa;alv-dur
Duvle;paa-lkp
Duwai;cdc-wst
Duwet;poz-ocw
Dwang;alv-gng
Dyaabugay;aus-pmn
Dyaberdyaber;aus-nyu
Dyan;nic-gur
Dyangadi;aus-cww
Dyirbal;aus-dyb
Dyugun;aus-nyu
Dyula;dmn-man
Dzala;sit-ebo
Dzando;bnt-bun
Dzodinka;nic-nka
Dzongkha;dz
Dzuun;dmn-smg
E;qfa-mix
East Damar;poz-cet
East Franconian;gmw-hgm
East Futuna;poz-pnp
East Makian;poz-hce
East Masela;poz-tim
East Nyala;bnt-msl
East Yugur;xgn-sou
Eastern Acipa;nic-kmk
Eastern Arrernte;aus-pam
Eastern Bolivian Guaraní;tup-gua
Eastern Bontoc;phi
Eastern Bru;mkh-kat
Eastern Canadian Inuktitut;esx-inu
Eastern Cham;cmc
Eastern Durango Nahuatl;azc-dur
Eastern Gorkha Tamang;sit-tam
Eastern Gurung;sit-tam
Eastern Highland Chatino;omq-cha
Eastern Highland Otomi;oto-otm
Eastern Huasteca Nahuatl;azc-hua
Eastern Katu;mkh-kat
Eastern Kayah;kar
Eastern Keres;nai-ker
Eastern Lawa;mkh-pal
Eastern Magar;sit-gma
Eastern Maninkakan;dmn-mnk
Eastern Mari;chm
Eastern Meohang;sit-kie
Eastern Min;zhx-com
Eastern Mnong;mkh-ban
Eastern Ngad'a;poz-cet
Eastern Ojibwa;alg
Eastern Parbate Kham;sit-kha
Eastern Penan;poz-swa
Eastern Pomo;nai-pom
Eastern Pwo;kar
Eastern Subanun;phi
Eastern Tamang;sit-tam
Eastern Tawbuid;phi
Eastern Xwla Gbe;alv-pph
Ebira;alv-nup
Eblaite;sem-eas
Ebrié;alv-ptn
Ebughu;nic-lcr
Ecuadorian Sign Language;sgn
Ede Cabe;alv-ede
Ede Ica;alv-ede
Ede Idaca;alv-ede
Ede Ije;alv-ede
Ede Nago;alv-ede
Edera Awyu;ngf
Edo;alv-eeo
Edolo;ngf
Edomite;sem-can
Edopi;paa-lkp
Efai;nic-ief
Efe;csu-mle
Efik;nic-ief
Efutop;nic-eko
Ega;alv
Eggon;nic-pls
Egyptian Arabic;sem-arb
Egyptian;egx
Ehueun;alv-nwd
Eipomek;ngf
Eitiep;qfa-tor
Ejagham;nic-eko
Ejamat;alv-jfe
Ekajuk;nic-eko
Ekari;ngf
Ekele;bnt-ske
Eki;nic-ief
Ekit;nic-ief
Ekpeye;alv-igb
El Alto Zapotec;omq-zap
El Hugeirat;nub-hil
El Molo;cus-eas
Elamite;qfa-iso
Eleme;nic-ogo
Elepi;qfa-tor
Elfdalian;gmq-eas
Elip;nic-ymb
Elkei;qfa-tor
Elotepec Zapotec;omq-zap
Eloyi;nic-plt
Elu;poz-aay
Elymian;ine
Emae;poz-pnp
Emai;alv-eeo
Eman;nic-tvc
Embaloh;poz
Emberá-Baudó;sai-chc
Emberá-Catío;sai-chc
Emberá-Chamí;sai-chc
Emberá-Tadó;sai-chc
Embu;bnt-kka
Emerillon;tup-gua
Emilian;roa-emr
Emplawas;poz-tim
En;qfa-buy
Enawené-Nawé;awd
Ende;poz-cet
Enga;paa-eng
Engenni;alv-dlt
Enggano;poz
English;en
Enlhet;sai-mas
Enwan;alv-yek
Enwang;nic-lcr
Enxet;sai-mas
Enya;bnt-mbe
Eotile;alv-ptn
Epena;sai-chc
Epie;alv-dlt
Epigraphic Mayan;myn
Eravallan;dra-tam
Ere;poz-aay
Eritai;paa-lkp
Erokwanas;poz-hce
Erre;qfa-iso
Erromintxela;qfa-mix
Ersu;sit-ers
Eruwa;alv-swd
Erzya;urj-mdv
Esan;alv-eeo
Ese Ejja;sai-tac
Ese;ngf
Eshtehardi;xme-ttc
Esimbi;nic-bds
Eskayan;art
Esperanto;eo
Esselen;qfa-iso
Estado de México Otomi;oto-otm
Estonian Sign Language;sgn
Estonian;et
Esuma;alv-kwa
Etchemin;alg-eas
Etebi;nic-ief
Eten;nic-beo
Etkywan;nic-jkn
Eton (Cameroon);bnt-btb
Eton (Vanuatu);poz-vnc
Etruscan;qfa-tyn
Etulo;alv-ido
Evant;nic-tvc
Even;tuw-ewe
Evenki;tuw-ewe
Ewe;ee
Ewondo;bnt-btb
Extremaduran;roa-asl
Eyak;xnd
Ezaa;alv-igb
Fagani;poz-sls
Faire Atta;phi
Faita;ngf-mad
Faiwol;ngf-okk
Fakkanci;nic-knn
Fala;roa-gap
Falam Chin;tbq-kuk
Fali;cdc-cbm
Faliscan;itc-laf
Fam;nic-mmb
Fanagalo;crp
Fanamaket;poz-oce
Fang (Bantu);bnt-btb
Fang (Beboid);nic-beb
Fania;alv-bua
Farefare;nic-mre
Faroese;fo
Fas;paa
Fasu;paa-kut
Fataleka;poz-sls
Fataluku;qfa-tap
Fayu;paa-lkp
Fe'fe';bai
Fedan;poz-ocw
Fembe;ngf
Fer;csu-bgr
Feroge;nic-ser
Fiji Hindi;inc-hie
Fijian;fj
Filomena Mata-Coahuitlán Totonac;nai-ttn
Finisterre Yau;ngf-fin
Finnish-Swedish Sign Language;sgn
Finnish Sign Language;sgn
Finnish;fi
Finongan;ngf-fin
Fipa;bnt-mwi
Firan;nic-plc
Fiwaga;paa-kut
Flinders Island;aus-pmn
Foau;paa-lkp
Foi;paa-kut
Foia Foia;ngf
Folopa;paa
Foma;bnt-ske
Fon;alv-gbe
Fongoro;csu
Foodo;alv-gng
Forak;ngf-fin
Fordata;poz
Fore;paa-kag
Forest Enets;syd
Fortsenal;poz-vnn
Fox;alg-sfk
Francisco León Zoque;nai-miz
Franco-Provençal;roa-grh
French Sign Language;sgn-fsl
French;fr
Friulian;roa-rhe
Fula;ff
Fuliiru;bnt-shh
Fulniô;qfa-iso
Fum;nic-nka
Fungwa;nic-shi
Fur;ssa-fur
Furu;csu-bkr
Futuna-Aniwa;poz-pnp
Fuyug;ngf
Fwâi;poz-cln
Fwe;bnt-bot
Fyam;nic-ple
Fyer;cdc-wst
Ga'anda;cdc-cbm
Ga'dang;phi
Ga;alv-gda
Gaam;sdv-eje
Gabadi;poz-ocw
Gabi;aus-pam
Gabri;cdc-est
Gabrielino-Fernandeño;azc-tak
Gadang;cdc-est
Gaddang;phi
Gaddi;him
Gade;alv-nup
Gadjerawang;aus-jar
Gadsup;paa-kag
Gafat;sem-eth
Gagadu;aus-arn
Gagauz;trk-ogz
Gagnoa Bété;kro-bet
Gahri;sit-whm
Gaikundi;paa-spk
Gaina;ngf
Gal;ngf-mad
Galambu;cdc-wst
Galatian;cel
Galela;paa-nha
Galeya;poz-ocw
Galice;ath-pco
Galician;gl
Galindian;bat
Gallurese;roa-itr
Galo;sit-tan
Galoli;poz-tim
Gamale Kham;sit-kha
Gambera;aus-wor
Gamilaraay;aus-cww
Gamit;inc-bhi
Gamkonora;paa-nha
Gamo-Ningi;nic-jer
Gamo;omv-nom
Gan;zhx
Gana;poz-san
Ganang;nic-plc
Gandhari;inc-mid
Gane;poz-hce
Ganggalida;aus-tnk
Ganglau;ngf-mad
Gants;ngf-mad
Ganza;omv-mao
Ganzi;nic-nkb
Gao;poz-ocw
Gapapaiwa;poz-ocw
Garawa;aus-gar
Garhwali;inc-pah
Garifuna;awd-taa
Garo;tbq-bdg
Garre;cus-som
Garus;ngf-mad
Gavak;ngf-mad
Gavião do Jiparaná;tup
Gawar-Bati;inc-kun
Gawwada;cus-eas
Gaya;qfa-kor
Gayil;omv-aro
Gayo;poz-nws
Gbagyi;alv-ngb
Gban;dmn-nbe
Gbanu;gba-eas
Gbanziri;nic-nkg
Gbari;alv-ngb
Gbaya-Bossangoa;gba-wes
Gbaya-Bozoum;gba-wes
Gbaya-Mbodomo;gba-eas
Gbayi;nic-ngd
Gbesi Gbe;alv-pph
Gbii;kro-wkr
Gbin;dmn-mse
Gbiri-Niragu;nic-kau
Gboloo Grebo;kro-grb
Gciriku;bnt-kav
Gcwi;khi-kal
Ge'ez;sem-eth
Ge;hmn
Geba Karen;kar
Gebe;poz-hce
Gedaged;poz-ocw
Gedeo;cus-hec
Geji;cdc-wst
Gela;poz-sls
Gele';poz-aay
Geme;znd
Gen;alv-gbe
Gende;paa-kag
Gengle;alv-mye
Georgian;ka
Gera;cdc-wst
Gerka;cdc-wst
German Sign Language;sgn-gsl
German;de
Geruma;cdc-wst
Geser-Gorom;poz-cma
Gey;alv-sav
Ghadames;ber
Ghanaian Sign Language;sgn
Ghanongga;poz-ocw
Ghari;poz-sls
Ghayavi;poz-ocw
Ghomala';bai
Ghomara;ber
Ghulfan;nub-hil
Giangan;phi
Gibanawa;crp
Gidar;cdc-cbm
Gikyode;alv-gng
Gilaki;ira-csp
Gilbertese;poz-mic
Gilima;nic-nkm
Gimi (Goroka);paa
Gimnime;alv-dur
Girawa;ngf-mad
Giryama;bnt-mij
Githabul;aus-pam
Gitua;poz-ocw
Gitxsan;nai-tsi
Glavda;cdc-cbm
Glosa;art
Goaria;raj
Gobasi;ngf
Godoberi;cau-and
Godwari;raj
Goemai;cdc-wst
Gofa;omv-nom
Gogo;bnt-ruv
Gogodala;paa-pag
Goguryeo;qfa-kor
Gojri;raj
Gokana;nic-ogo
Gola;alv
Golin;ngf
Golpa;aus-yol
Gondi;dra-gon
Gone Dau;poz-pcc
Gong;tbq-lob
Gonja;alv-gng
Goo;dmn
Gooniyandi;aus-bub
Gor;csu-sar
Gorakor;poz-ocw
Gorap;crp
Gorontalo;phi
Gorovu;paa
Gothic;gme
Gourmanchéma;nic-grm
Gowro;inc-koh
Gozarkhani;xme-ttc
Grangali;inc-kun
Grass Koiari;ngf
Grebo;kro-grb
Greek;el
Green Hmong;hmn
Greenlandic;kl
Grenadian Creole English;crp
Gresi;paa-nim
Gros Ventre;alg-ara
Guébie;kro-did
Gua;alv-gng
Guahibo;sai-guh
Guajá;tup
Guajajára;tup-gua
Guambiano;sai-bar
Guanano;sai-tuc
Guaraní;gn
Guarayu;tup-gua
Guató;qfa-iso
Guatemalan Sign Language;sgn
Guayabero;sai-guh
Gude;cdc-cbm
Gudu;cdc-cbm
Guduf-Gava;cdc-cbm
Guerrero Amuzgo;omq
Guerrero Nahuatl;azc-nah
Guevea de Humboldt Zapotec;omq-zap
Gugadj;aus-pmn
Gugu Badhun;aus-pam
Guhu-Samane;ngf
Guianese Creole;crp
Guiberoua Bété;kro-bet
Guinea-Bissau Creole;crp
Guinea Kpelle;dmn-msw
Guinean Sign Language;sgn
Gujarati;gu
Gula'alaa;poz-sls
Gulay;csu-sar
Gulf Arabic;sem-arb
Gullah;crp
Gumalu;ngf-mad
Gumatj;aus-yol
Gumawana;poz-ocw
Gumuz;ssa
Gun;alv-gbe
Gundi;nic-nkb
Gungabula;aus-pam
Gungu;bnt-glb
Gunu;nic-ymb
Gunwinggu;aus-gun
Gunya;aus-pam
Gupa-Abawa;alv-ngb
Gupapuyngu;aus-yol
Gur Lama;nic-gne
Guragone;aus-arn
Guramalum;poz-ocw
Gurani;ira-zgr
Gurgula;raj
Guriaso;paa-kwm
Gurindji Kriol;qfa-mix
Gurindji;aus-pam
Gurmana;nic-shi
Guro;dmn-mda
Guruntum;cdc-wst
Gusan;ngf-fin
Gusii;bnt-lok
Gusilay;alv-jol
Guugu Yimidhirr;aus-pam
Guwamu;aus-pam
Guya;ngf-fin
Guyanese Creole English;crp
Guyani;aus-pam
Gvoko;cdc-cbm
Gwa;nic-jrn
Gwahatike;ngf-fin
Gwamhi-Wuri;nic-knn
Gwandara;cdc-wst
Gweda;poz-ocw
Gweno;bnt-chg
Gwere;bnt-nyg
Gwich'in;ath-nor
Gyele;bnt-mnj
Gyem;nic-jer
Hértevin;sem-nna
Hän;ath-nor
Habu;poz-cet
Hadiyya;cus-hec
Hadothi;raj
Hadrami;sem-osa
Hadza;qfa-iso
Haeke;poz-cln
Hahon;poz-ocw
Haiǁom;khi-khk
Haida;qfa-iso
Haigwai;poz-ocw
Hainanese;zhx-nan
Hainyaxo Bozo;dmn-snb
Haisla;wak
Haitian Creole;ht
Haitian Vodoun Culture Language;crp
Hajong;qfa-mix
Hakö;poz-ocw
Hakka;zhx
Halang;mkh
Halbi;inc-hal
Halia;poz-ocw
Halkomelem;sal
Hamba;bnt-tet
Hamer-Banna;omv-aro
Hamtai;ngf
Hanga Hundi;paa-spk
Hanga;nic-dag
Hani;tbq-han
Hanoi Sign Language;sgn
Hanunoo;phi
Harari;sem-eth
Harijan Kinnauri;him
Haroi;cmc
Harsusi;sem-sar
Haryanvi;inc-hiw
Harzani;xme-ttc
Hassaniya Arabic;sem-arb
Hattic;qfa-iso
Hausa Sign Language;sgn
Hausa;ha
Havasupai-Walapai-Yavapai;nai-yuc
Haveke;poz-cln
Havu;bnt-shh
Hawai'i Pidgin Sign Language;sgn
Hawaiian Creole;crp
Hawaiian;poz-pep
Haya;bnt-haj
Hdi;cdc-cbm
Hebrew;he
Hehe;bnt-bki
Heiltsuk;wak
Helong;poz-tim
Hema;bnt-nyg
Herero;hz
Hermit;poz-aay
Hernican;itc-sbl
Heyo;qfa-tor
Hidatsa;sio-mor
Higaonon;mno
Highland Oaxaca Chontal;nai-tqn
Highland Popoluca;nai-miz
Highland Puebla Nahuatl;azc-nah
Highland Totonac;nai-ttn
Hijazi Arabic;sem-arb
Hiligaynon;phi
Hill Maria;dra-mdy
Hindi;hi
Hinukh;cau-wts
Hiri Motu;ho
Hittite;ine-ana
Hitu;poz-cma
Hiw;poz-vnn
Hixkaryana;sai-prk
Hlai;qfa-lic
Hmar;tbq-kuk
Hmwaveke;poz-cln
Ho Chi Minh City Sign Language;sgn
Ho;mun
Hoava;poz-ocw
Hobyót;sem-sar
Holikachuk;ath-nor
Holma;cdc-cbm
Holoholo;bnt-tkm
Holu;bnt-pen
Homa;bnt-boa
Honduran Lenca;nai-len
Honduras Sign Language;sgn
Hone;nic-jkn
Hopi;azc
Horom;nic-ple
Hote;poz-ocw
Hoti;poz-cma
Hoyahoya;ngf
Hpon;tbq-brm
Hrê;mkh-nbn
Huachipaeri;sai-har
Huambisa;sai-jiv
Huaorani;qfa-iso
Huarijio;azc-trc
Huaulu;poz-cma
Huautla Mazatec;omq-maz
Huave;qfa-iso
Huaxcaleca Nahuatl;azc-nah
Huichol;azc
Huilliche;sai-ara
Huitepec Mixtec;omq-mxt
Huizhou;zhx
Hukumina;poz-cma
Hula;poz-ocw
Hulaulá;sem-nna
Huli;paa-eng
Humene;ngf
Hun;nic-knn
Hunde;bnt-shh
Hungarian Sign Language;sgn
Hungarian;hu
Hungworo;nic-kmk
Hunsrik;gmw-hgm
Hunzib;cau-ets
Hupa;ath-pco
Hupdë;sai-nad
Hurrian;qfa-hur
Hutterisch;gmw-hgm
Hwana;cdc-cbm
Hya;cdc-cbm
Hyam;nic-plc
Iñapari;awd
Iaai;poz-cln
Iamalele;poz-ocw
Ibaloi;phi
Iban;poz-mly
Ibanag;phi
Ibatan;phi
Iberian;qfa-iso
Ibibio;nic-ief
Ibino;nic-lcr
Iboko;bnt-ngn
Icelandic Sign Language;sgn
Icelandic;is
Iceve-Maci;nic-tvc
Ida'an;poz-san
Idaté;poz-tim
Idesa;alv-swd
Idi;paa
Ido;io
Idoma;alv-ido
Idu;sit-gsi
Idun;nic-plc
Ifè;alv-ede
Ifo;poz-vns
Igala;alv-yrd
Igana;paa
Igbo;ig
Igede;alv-ido
Ignaciano;awd
Igo;alv-ktg
Iguta;nic-jer
Igwe;alv-yek
Ihievbe;alv-eeo
Ija-Zuba;nic-pls
Ik;ssa-klk
Ikizu;bnt-lok
Iko;nic-lcr
Ikobi-Mena;ngf
Ikoma;bnt-lok
Ikpeng;sai-pek
Ikpeshi;alv-yek
Ikposo;alv-ktg
Ikulu;nic-plc
Ikwo;alv-igb
Ila;bnt-bot
Ilgar;aus-wdj
Ili Turki;trk-kar
Ilianen Manobo;mno
Illyrian;ine
Ilocano;phi
Ilongot;phi
Ilue;nic-lcr
Inabaknon;poz-sbj
Inapang;paa
Inari Sami;smi
Indo-Portuguese;crp
Indonesian Bajau;poz
Indonesian Sign Language;sgn
Indonesian;id
Indus Kohistani;inc-koh
Ineseño;nai-chu
Inga;qwe
Ingrian;urj-fin
Ingush;cau-vay
Inonhan;phi
Inor;sem-eth
Interlingua;ia
Interlingue;ie
Interslavic;art
Intha;tbq-brm
Inuit Sign Language;sgn
Inuktitut;iu
Inupiak;ik
Inuvialuktun;esx-inu
Ipalapa Amuzgo;omq
Ipulo;nic-tvc
Iquito;sai-zap
Iranun;phi
Iraqi Arabic;sem-arb
Iraqw;cus-sou
Irarutu;poz-cet
Iraya;phi
Iresim;poz-hce
Iriga Bicolano;phi
Irish Sign Language;sgn
Irish;ga
Irula;dra-imd
Isan;tai-swe
Isanzu;bnt-tkm
Isarog Agta;phi
Isconahua;sai-pan
Ishkashimi;ira-sgi
Isinai;phi
Islander Creole English;crp
Isnag;phi
Isoko;alv-swd
Israeli Sign Language;sgn
Isthmus Mixe;nai-miz
Isthmus Zapotec;omq-zpc
Istriot;roa-dal
Istro-Romanian;roa-eas
Isu;nic-rnw
Isubu;bnt-saw
Italian Sign Language;sgn
Italian;it
Itawit;phi
Itelmen;qfa-cka
Itene;sai-cpc
Ito;nic-ief
Itsekiri;alv-edk
Itu Mbon Uzo;nic-ief
Itundujia Mixtec;omq-mxt
Itza';myn
Iu Mien;hmx-mie
Ivatan;phi
Iwaidja;aus-wdj
Iwal;poz-ocw
Ixcatlán Mazatec;omq-maz
Ixil;myn
Ixtayutla Mixtec;omq-mxt
Ixtenco Otomi;oto-otm
Iyayu;alv-nwd
Iyive;nic-tvc
Iyo'wujwa Chorote;sai-mtc
Iyo;ngf-fin
Iyojwa'ja Chorote;sai-mtc
Izere;nic-plc
Izi;alv-igb
Izon;ijo
Izora;nic-jer
Júma;tup-gua
Jabem;poz-ocw
Jabutí;sai-mje
Jah Hut;mkh-asl
Jahanka;dmn-wmn
Jair Awyu;ngf
Jakaltek;myn
Jakati;inc-pan
Jalapa de Díaz Mazatec;omq-maz
Jalkunan;dmn-jje
Jamaican Country Sign Language;sgn
Jamaican Creole;crp
Jamaican Sign Language;sgn
Jamamadí;auf
Jambi Malay;poz-mly
Jamiltepec Mixtec;omq-mxt
Jaminjung;aus-mir
Jamsay;nic-pld
Jandavra;inc-wes
Janday;aus-pam
Jangshung;sit-kin
Japanese Sign Language;sgn-jsl
Japanese;ja
Japrería;sai-yuk
Jaqaru;sai-aym
Jara;cdc
Jarai;cmc
Jarawa;qfa-ong
Jaru;aus-pam
Jassic;xsc-sar
Jaunsari;him
Javanese;jv
Javindo;crp
Jawe;poz-cln
Jaya;csu-bgr
Jeh;mkh-ban
Jeju;qfa-kor
Jemez;nai-kta
Jenaama Bozo;dmn-snb
Jeng;mkh-ban
Jennu Kurumba;dra-kan
Jeri Kuo;dmn-jje
Jeru;qfa-adn
Jibu;nic-jkn
Jicarilla;apa
Jiiddu;cus-som
Jimi;cdc-wst
Jimjimen;cdc-cbm
Jin;zhx
Jingpho;sit-jnp
Jita;bnt-haj
Jju;nic-plc
Jola-Fonyi;alv-jol
Jola-Kasa;alv-jol
Jorá;tup-gua
Jordanian Sign Language;sgn
Jowulu;dmn-mnw
Juǀ'hoan;khi-kxa
Juang;mun
Juba Arabic;crp
Judeo-Italian;roa-itd
Judeo-Persian;ira-swi
Judeo-Tat;ira-swi
Jukun Takum;nic-jkn
Jumjum;sdv
Jungle Inga;qwe
Jur Modo;csu-bbk
Jurúna;tup
Jurchen;tuw-jrc
Jutish;gmq-eas
Juwal;qfa-tor
Juxtlahuaca Mixtec;omq-mxt
Jwira-Pepesa;alv-ctn
K'iche';myn
Kâte;ngf
Kaang Chin;tbq-kuk
Kabardian;cau-cir
Kabatei;xme-ttc
Kabba-Laka;csu-sar
