San Jerónimo Tecóatl Mazatec;maa
Mono (Cameroon);mru
Mangarevan;mrv
Maranao;mrw
Dineor;mrx
Masbatenyo;msb
Yucatec Maya Sign Language;msd
Mekwei;msf
Ma;msj
Mansaka;msk
Agusan Manobo;msm
Vurës;msn
Maritsauá;msp
Caac;msq
Musom;msu
Aruamu;msy
Cotabato Manobo;mta
Anyin Morofo;mtb
Mualang;mtd
Alu;mte
Murik (New Guinea);mtf
Munggui;mth
Maiwa (New Guinea);mti
Mbe';mtk
Montol;mtl
Mator;mtm
Totontepec Mixe;mto
Wichí Lhamtés Nocten;mtp
Muong;mtq
Mewari;mtr
Yora;mts
Mota;mtt
Tututepec Mixtec;mtu
Asaro'o;mtv
Tidaá Mixtec;mtx
Nabi;mty
Mubi;mub
Mbu';muc
Mednyj Aleut;mud
Media Lengua;mue
Musgu;mug
Mündü;muh
Musi;mui
Translingual;mul
Maiwala;mum
Malvi;mup
Creek;mus
Muyang;muy
Manam;mva
Mattole;mvb
Yucuañe Mixtec;mvg
Miyako;mvi
Minaveha;mvn
Marovo;mvo
Duri;mvp
Marau;mvr
Mpotovoro;mvt
Tagal Murut;mvv
Meoswar;mvx
Indus Kohistani;mvy
Mwatebu;mwa
Juwal;mwb
Are;mwc
Mwera;mwe
Murrinh-Patha;mwf
Aiklep;mwg
Mouk-Aria;mwh
Labo;mwi
Mirandese;mwl
Sar;mwm
Sungwadaga;mwo
Kala Lagaw Ya;mwp
Marwari;mwr
Mwimbi-Muthambi;mws
Mittu;mwu
Mentawai;mwv
White Hmong;mww
Northwest Oaxaca Mixtec;mxa
Tezoatlán Mixtec;mxb
Modang;mxd
Mele-Fila;mxe
Mvuba;mxh
Mozarabic;mxi
Miju;mxj
Meramera;mxm
Huitepec Mixtec;mxs
Jamiltepec Mixtec;mxt
Mada (Cameroon);mxu
Metlatónoc Mixtec;mxv
Southeastern Nochixtlán Mixtec;mxy
Central Masela;mxz
Mbay;myb
Myene;mye
Bambassi;myf
Manta;myg
Makah;myh
Mamara Senoufo;myk
Pirahã;myp
Mundurukú;myu
Erzya;myv
Muyuw;myw
Masaba;myx
Macuna;myy
Classical Mandaic;myz
Santa María Zacatepec Mixtec;mza
Northern Saharan Berber;mzb
Wichí Lhamtés Güisnay;mzh
Ixcatlán Mazatec;mzi
Nigeria Mambila;mzk
Mumuye;mzm
Mazanderani;mzn
Matipuhy;mzo
Marúbo;mzr
Macanese;mzs
Inapang;mzu
Deg;mzw
Maiadomu;mzz
