Ebughu;ebg
Guyani;gvy
Mbato;gwa
Gwa;gwb
Kalami;gwc
Gawwada;gwd
Gweno;gwe
Gowro;gwf
Moo;gwg
Gwich'in;gwi
Gcwi;gwj
Awngthim;gwm
Gwandara;gwn
Gwere;gwr
Gawar-Bati;gwt
Guwamu;gwu
Kwini;gww
Gua;gwx
Wè Southern;gxx
Northwest Gbaya;gya
Garus;gyb
Kayardild;gyd
Gyem;gye
Gungabula;gyf
Gbayi;gyg
Gyele;gyi
Gayil;gyl
Ngäbere;gym
Guyanese Creole English;gyn
Guarayu;gyr
Gunya;gyy
Ganza;gza
Gane;gzn
Hän;haa
Hanoi Sign Language;hab
Gurani;hac
Hanga;hag
Hahon;hah
Haida;hai
Hajong;haj
Hakka;hak
Halang;hal
Hakö;hao
Harari;har
Haisla;has
Havu;hav
Hawaiian;haw
Southern Haida;hax
Haya;hay
Hamba;hba
Habu;hbu
Andaman Creole Hindi;hca
Huichol;hch
Northern Haida;hdn
Honduras Sign Language;hds
Hadiyya;hdy
Northern Qiandong Miao;hea
Helong;heg
Hehe;heh
Heiltsuk;hei
Haiǁom;hgm
Haigwai;hgw
Hoyahoya;hhy
Lamang;hia
Hidatsa;hid
Fiji Hindi;hif
Hiligaynon;hil
Hittite;hit
Hiw;hiw
Hixkaryana;hix
Kahe;hka
Hunde;hke
Halia;hla
Halbi;hlb
Southern Mashan Hmong;hma
A-Hmao;hmd
Ge;hmj
Yemaek;hmk
Hmar;hmr
Hamtai;hmt
Southern Hindko;hnd
Chhattisgarhi;hne
ǁAni;hnh
Hani;hni
Green Hmong;hnj
Hainanese;hnm
Hanunoo;hnn
Northern Hindko;hno
Caribbean Hindustani;hns
Hoava;hoa
Austronesian Mari;hob
Ho;hoc
Holma;hod
Horom;hoe
Hobyót;hoh
Holikachuk;hoi
Hadothi;hoj
Holu;hol
Homa;hom
Holoholo;hoo
Hopi;hop
Ho Chi Minh City Sign Language;hos
Hote;hot
Hpon;hpo
Hawai'i Pidgin Sign Language;hps
Niwer Mil;hrc
Hrê;hre
Haroi;hro
Hértevin;hrt
Warwar Feni;hrw
Hunsrik;hrx
Harzani;hrz
Upper Sorbian;hsb
Hungarian Sign Language;hsh
Hausa Sign Language;hsl
Xiang;hsn
Harsusi;hss
Hoti;hti
Minica Huitoto;hto
Hadza;hts
Hitu;htu
Huambisa;hub
ǂHoan;huc
Huaulu;hud
Humene;huf
Huachipaeri;hug
Huilliche;huh
Huli;hui
Hula;hul
Hupa;hup
Halkomelem;hur
Wastek;hus
Murui Huitoto;huu
Huave;huv
Hukumina;huw
Nüpode Huitoto;hux
Hulaulá;huy
Hunzib;huz
Haitian Vodoun Culture Language;hvc
Haveke;hvk
Sabu;hvn
Wané;hwa
Hawaiian Creole;hwc
Hwana;hwo
Hya;hya

