Yil;qfa-tor
Yalarnnga;aus-pam
Aribwaung;poz-ocw
Nyelâyu;poz-cln
Yambes;qfa-tor
Yamongeri;bnt-mon
Iamalele;poz-ocw
Maay;cus-som
Sunum;poz-ocw
Yangum Mon;qfa-tor
Yamap;poz-ocw
Yandruwandha;aus-kar
Yango;nic-nkk
Naukanski;ypk
Yong;tai-swe
Yoba;poz-ocw
Yogad;phi
Yonaguni;jpx-sry
Yola;gmw-ian
Yombe;bnt-kng
Yoron;jpx-nry
Tundra Nenets;syd
Nheengatu;tup-gua
Ỹaroamë;sai-ynm
Jassic;xsc-sar
Sani;tbq-axi
Sirenik;ypk
Yessan-Mayo;paa-spk
Yout Wam;ngf-fin
Yucatec Maya;myn
Cantonese;zhx-yue
Havasupai-Walapai-Yavapai;nai-yuc
Yug;qfa-yno
Yurutí;sai-tuc
Karkar-Yuri;paa-pau
Yuki;nai-ykn
Yuma;nai-yuc
Bena;alv-yun
Yukpa;sai-yuk
Yuqui;tup-gua
Yurok;aql
Yopno;ngf-fin
Finisterre Yau;ngf-fin
Southern Yukaghir;qfa-yuk
East Yugur;xgn-sou
Yuracare;qfa-iso
Yawa;paa
Yavitero;awd
Kalou;paa-spk
Yinhawangka;aus-nga
Yawanawa;sai-pan
Nasu;tbq-nas
Yawuru;aus-nyu
Yawarawarga;aus-kar
Mayawali;aus-pam
Yagara;aus-pam
Yarli;aus-pam
Yinwum;aus-pam
Yuyu;aus-pam
Yabula Yabula;aus-pam
Torricelli Yau;qfa-tor
Zokhuo;tbq-phw
Sierra de Juárez Zapotec;omq-zap
San Juan Guelavía Zapotec;omq-zpc
Ocotlán Zapotec;omq-zap
Cajonos Zapotec;omq-zpc
Yareni Zapotec;omq-zap
Ayoquesco Zapotec;omq-zpc
Zaghawa;ssa-sah
Zangwal;cdc-wst
Isthmus Zapotec;omq-zpc
Zaramo;bnt-ruv
Zanaki;bnt-lok
Zauzou;tbq-nus
Central Mahuatlán Zapoteco;omq-zap
Ozolotepec Zapotec;omq-zap
Zapotec;omq-zap
Aloápam Zapotec;omq-zap
Rincón Zapotec;omq-zap
Santo Domingo Albarradas Zapotec;omq-zap
Tabaa Zapotec;omq-zap
Zangskari;sit-lab
Yatzachi Zapotec;omq-zpc
Mitla Zapotec;omq-zpc
Xadani Zapotec;omq-zap
Zayse-Zergulla;omv-eom
Zari;cdc-wst
Batui;poz-slb
Coatecas Altas Zapotec;omq-zap
Ngazidja Comorian;bnt-com
Zealandic;gmw-frk
Zenag;poz-ocw
Zenaga;ber
Kinga;bnt-bki
Moroccan Amazigh;ber
Magori;poz-ocw
Zhire;nic-plc
Nong Zhuang;tai-cen
Zhoa;nic-rnw
Zia;ngf
Zimakani;ngf
Zialo;dmn-msw
Mesme;cdc-mas
Zinza;bnt-haj
Ziriya;nic-jer
Zigula;bnt-seu
Zizilivakan;cdc-cbm
Kaimbulawa;poz-mun
Koibal;syd
Kadu (Myanmar);sit-luu
Goguryeo;qfa-kor
Khorezmian Turkic;trk-kar
Kott;qfa-yso
São Paulo Kaingáng;sai-jee
Zakhring;sit-mdz
Khitan;qfa-xgx
Kaurna;aus-psw
Krevinian;urj-fin
Khazar;trk-ogr
Manda (Australia);aus-dal
Zimba;bnt-lgb
Margany;aus-pam
Maridan;aus-dal
Mfinu;bnt-tek
Marti Ke;aus-dal
Makolkol;paa-bng
Negeri Sembilan Malay;poz-mly
Maridjabin;aus-dal
Mandandanyi;aus-pam
Madngele;aus-dal
Marimanindji;aus-dal
Mbangwe;bnt-kel
Molo;sdv-eje
Mbuun;bnt
Mituku;bnt-mbe
Maranungku;aus-dal
Mbesa;bnt-ske
Maringarr;aus-dal
Muruwari;aus-pam
Mbariman-Gudhinma;aus-pmn
Mbo (Congo);bnt-nya
Bomitaba;bnt-ngn
Mariyedi;aus-dal
Mbandja;bad
Zan Gula;alv-bua
Zande;znd
Manangkari;aus-wdj
Mangas;cdc-wst
Copainalá Zoque;nai-miz
Chimalapa Zoque;nai-miz
Zou;tbq-kuk
Asunción Mixtepec Zapotec;omq-zap
Tabasco Zoque;nai-miz
Rayón Zoque;nai-miz
Francisco León Zoque;nai-miz
Lachiguiri Zapotec;omq-zap
Yautepec Zapotec;omq-zap
Choapan Zapotec;omq-zap
Southeastern Ixtlán Zapotec;omq-zap
Petapa Zapotec;omq-zap
San Pedro Quiatoni Zapotec;omq-zpc
Guevea de Humboldt Zapotec;omq-zap
Totomachapan Zapotec;omq-zap
Santa María Quiegolani Zapotec;omq-zpc
Quiavicuzas Zapotec;omq-zap
Tlacolulita Zapotec;omq-zpc
Lachixío Zapotec;omq-zap
Mixtepec Zapotec;omq-zpc
Santa Inés Yatzechi Zapotec;omq-zap
Amatlán Zapotec;omq-zpc
El Alto Zapotec;omq-zap
Zoogocho Zapotec;omq-zpc
Santiago Xanica Zapotec;omq-zap
Coatlán Zapotec;omq-zap
San Vicente Coatlán Zapotec;omq-zap
Yalálag Zapotec;omq-zpc
Chichicapan Zapotec;omq-zap
Zaniza Zapotec;omq-zpc
San Baltazar Loxicha Zapotec;omq-zap
Mazaltepec Zapotec;omq-zap
Texmelucan Zapotec;omq-zpc
Gaya;qfa-kor
Zirenkel;cdc-est
Záparo;sai-zap
Mairasi;paa-mai
Southern Rincon Zapotec;omq-zpc
Elotepec Zapotec;omq-zap
Xanaguía Zapotec;omq-zpc
Lapaguía-Guivini Zapotec;omq-zap
San Agustín Mixtepec Zapotec;omq-zap
Santa Catarina Albarradas Zapotec;omq-zap
Loxicha Zapotec;omq-zap
Quioquitani-Quierí Zapotec;omq-zpc
Tilquiapan Zapotec;omq-zpc
Tejalapan Zapotec;omq-zap
San Pablo Güilá Zapotec;omq-zap
Zaachila Zapotec;omq-zap
Yatee Zapotec;omq-zpc
Zeem;cdc-wst
Tokano;ngf
Kumzari;ira-swi
Zuni;qfa-iso
Zumaya;cdc-mas
Zay;sem-eth
Zyphe;tbq-kuk
Zazaki;ira-zgr
Zuojiang Zhuang;tai-cen
Andalusian Arabic;sem-arb
Sambe;nic-alu
Aequian;itc
Aghwan;cau-esm
Ararandewára;tup-gua
Kalmyk;xgn-cen
ǀXam;khi-tuu
Xamtanga;cus-cen
Apalachee;nai-mus
Aquitanian;euq
Kamassian;syd
Xavante;sai-cje
Kawaiisu;azc-num
Bactrian;ira-sbc
Bigambal;aus-pam
Kombio;qfa-tor
Birrpayi;aus-yuk
Middle Breton;cel-brs
Bulgar;trk-ogr
Kambera;poz-cet
Celtiberian;cel-his
Chemakum;chi
Old Armenian;hyx
Khwarezmian;ira-sbc
Carian;ine-luw
Classical Tibetan;sit-tib
Curonian;bat
Chuvan;qfa-yuk
Darkinjung;aus-yuk
Dacian;ine
Dharug;aus-yuk
Edomite;sem-can
Kaitag;cau-drg
Eblaite;sem-eas
Hdi;cdc-cbm
ǁXegwi;khi-tuu
Xerénte;sai-cje
Kesawai;ngf-mad
Xetá;tup-gua
Faliscan;itc-laf
Galatian;cel
Gbin;dmn-mse
Gabrielino-Fernandeño;azc-tak
Galindian;bat
Unggumi;aus-wor
Hadrami;sem-osa
Khetrani;inc-pan
Middle Khmer;mkh-kmr
Hernican;itc-sbl
Hattic;qfa-iso
Hurrian;qfa-hur
Iberian;qfa-iso
Xinca;nai-xin
Illyrian;ine
Xiriâna;awd
Kisan;dra-kml
Minjungbal;aus-pam
Kalkoti;inc-shn
Manigri-Kambolé Ede Nago;alv-ede
Khoini;xme-ttc
Kereho;poz
Khengkha;sit-ebo
Kajali;xme-ttc
Bakung;poz-swa
Kabatei;xme-ttc
Xakriabá;sai-cje
Kgalagadi;bnt-sts
Kurtöp;sit-ebo
Loup B;alg-eas
Lycian;ine-luw
Lydian;ine-ana
Lemnian;qfa-tyn
Ancient Ligurian;ine
Alanic;xsc-sar
Loup A;alg-eas
Lepontic;cel
Lusitanian;ine
Luwian;ine-luw
Elymian;ine
Mbonga;nic-jrn
Makhuwa-Marrevone;bnt-mak
Mbudum;cdc-cbm
Mingrelian;ccs-zan
Mengaka;bai
Kugu-Muminh;aus-pmn
Majera;cdc-cbm
Ancient Macedonian;grk
Manado Malay;crp
Morerebi;tup
Kuku-Mangk;aus-pam
Meroitic;afa
Mori Bawah;poz-btk
Ancient North Arabian;sem-cen
Kanakanabu;map
Middle Mongol;xgn
Northern Kankanay;phi
Kangri;him
Narragansett;alg-eas
Nyiyaparli;aus-nga
O'chi'chi';nic-cde
Soga;bnt-nyg
Kominimung;paa
Komo;ssa-kom
Konkomba;nic-grm
Liberia Kpelle;dmn-msw
Phrygian;ine
Pictish;cel-brw
Pumpokol;qfa-yso
Pochutec;azc-nah
Mohegan-Pequot;alg-eas
Parthian;ira-mpr
Punic;sem-can
Buyeo;qfa-kor
Karakhanid;trk-kar
Qatabanian;sem-osa
Arin;qfa-yso
Raetic;qfa-tyn
Sabaean;sem-osa
Sambali;phi
Sidetic;ine-luw
South Slavey;den
Kasem;nic-gnn
Sanga (Nigeria);nic-jer
Makhuwa-Saka;bnt-mak
Sherpa;sit-tib
Assan;qfa-yso
Sudovian;bat-wes
Saisiyat;map
Alcozauca Mixtec;omq-mxt
Chazumba Mixtec;omq-mxt
Kadugli;qfa-kad
Diuxi-Tilantongo Mixtec;omq-mxt
Sinicahua Mixtec;omq-mxt
San Juan Teita Mixtec;omq-mxt
Tijaltepec Mixtec;omq-mxt
Magdalena Peñasco Mixtec;omq-mxt
Northern Tlaxiaco Mixtec;omq-mxt
Tocharian A;ine-toc
San Miguel Piedras Mixtec;omq-mxt
Tumshuqese;xsc-sak
Sindihui Mixtec;omq-mxt
Tacahua Mixtec;omq-mxt
Cuyamecalco Mixtec;omq-mxt
Tawandê;sai-nmk
Yoloxochitl Mixtec;omq-mxt
Alu Kurumba;dra-kan
Betta Kurumba;dra-kan
Umiida;aus-wor
Kunigami;jpx-nry
Jennu Kurumba;dra-kan
Ngunawal;aus-yuk
Umbrian;itc-sbl
Unggaranggu;aus-wor
Upper Umpqua;ath-pco
Urartian;qfa-hur
Khwe;khi-kal
Venetic;ine
Vandalic;gme
Volscian;itc-sbl
Vestinian;itc
Woccon;nai-cat
Wangkumara;aus-pam
Western Xwla Gbe;alv-pph
Written Oirat;xgn-cen
Wemba-Wemba;aus-pam
Tambora;paa
Yalakalore;sai-nmk
Mayi-Thakurti;aus-pam
Yorta Yorta;aus-pam
Zhang-Zhung;sit-alm
Yaminahua;sai-pan
Yuhup;sai-nad
Pass Valley Yali;ngf
Yaka;bnt-yak
Yámana;qfa-iso
Yazghulami;ira-shy
Yagnobi;ira-sgc
Yakima;nai-shp
Yamba;nic-nka
Mayangna;nai-min
Yao;bnt-rvm
Yapese;poz-oce
Yaqui;azc-trc
Yabarana;sai-map
Gunu;nic-ymb
Yambeta;nic-mbw
Yangben;nic-ymb
Yawalapití;awd
Agwagwune;nic-ucn
Lokaa;nic-uce
Yala;alv-ido
Yemba;bai
Western Yugur;trk-ssb
Yakkha;sit-kie
Yamphu;sit-kie
Yabaâna;awd
Lolopo;tbq-llo
Yucuna;awd-nwk
Yilan Creole;crp
Yangum Dey;qfa-tor
Yidgha;ira-mny
Ravula;dra-mal
Yenish;gmw-hgm
Yevanic;grk
Yendang;alv-mye
Tarok;nic-tar
Yeskwa;nic-plc
Yapunda;qfa-tor
Yangum Gel;qfa-tor
Yagomi;ngf-fin
Yagaria;paa-kag
Yagwoia;ngf
Yinggarda;aus-psw
Yidiny;aus-yid
Yindjibarndi;aus-nga
Yindjilandji;aus-pam
Yimchungru Naga;sit-aao
Micha;tbq-llo
Yis;qfa-tor
Yir-Yoront;aus-pmn
Yakan;poz-sbj
Northern Yukaghir;qfa-yuk
Khamnigan Mongol;xgn-cen
Kap;poz-ocw
Yasa;bnt-yko
Yaul;paa
Angguruk Yali;ngf
Yil;qfa-tor
Yalarnnga;aus-pam
Aribwaung;poz-ocw
Nyelâyu;poz-cln
Yambes;qfa-tor
Yamongeri;bnt-mon
Iamalele;poz-ocw
Maay;cus-som
Sunum;poz-ocw
Yangum Mon;qfa-tor
Yamap;poz-ocw
Yandruwandha;aus-kar
Yango;nic-nkk
Naukanski;ypk
Yong;tai-swe
Yoba;poz-ocw
Yogad;phi
Yonaguni;jpx-sry
Yola;gmw-ian
Yombe;bnt-kng
Yoron;jpx-nry
Tundra Nenets;syd
Nheengatu;tup-gua
Ỹaroamë;sai-ynm
Jassic;xsc-sar
Sani;tbq-axi
Sirenik;ypk
Yessan-Mayo;paa-spk
Yout Wam;ngf-fin
Yucatec Maya;myn
Cantonese;zhx-yue
Havasupai-Walapai-Yavapai;nai-yuc
Yug;qfa-yno
Yurutí;sai-tuc
Karkar-Yuri;paa-pau
Yuki;nai-ykn
Yuma;nai-yuc
Bena;alv-yun
Yukpa;sai-yuk
Yuqui;tup-gua
Yurok;aql
Yopno;ngf-fin
Finisterre Yau;ngf-fin
Southern Yukaghir;qfa-yuk
East Yugur;xgn-sou
Yuracare;qfa-iso
Yawa;paa
Yavitero;awd
Kalou;paa-spk
Yinhawangka;aus-nga
Yawanawa;sai-pan
Nasu;tbq-nas
Yawuru;aus-nyu
Yawarawarga;aus-kar
Mayawali;aus-pam
Yagara;aus-pam
Yarli;aus-pam
Yinwum;aus-pam
Yuyu;aus-pam
Yabula Yabula;aus-pam
Torricelli Yau;qfa-tor
Zokhuo;tbq-phw
Sierra de Juárez Zapotec;omq-zap
San Juan Guelavía Zapotec;omq-zpc
Ocotlán Zapotec;omq-zap
Cajonos Zapotec;omq-zpc
Yareni Zapotec;omq-zap
Ayoquesco Zapotec;omq-zpc
Zaghawa;ssa-sah
Zangwal;cdc-wst
Isthmus Zapotec;omq-zpc
Zaramo;bnt-ruv
Zanaki;bnt-lok
Zauzou;tbq-nus
Central Mahuatlán Zapoteco;omq-zap
Ozolotepec Zapotec;omq-zap
Zapotec;omq-zap
Aloápam Zapotec;omq-zap
Rincón Zapotec;omq-zap
Santo Domingo Albarradas Zapotec;omq-zap
Tabaa Zapotec;omq-zap
Zangskari;sit-lab
Yatzachi Zapotec;omq-zpc
Mitla Zapotec;omq-zpc
Xadani Zapotec;omq-zap
Zayse-Zergulla;omv-eom
Zari;cdc-wst
Batui;poz-slb
Coatecas Altas Zapotec;omq-zap
Ngazidja Comorian;bnt-com
Zealandic;gmw-frk
Zenag;poz-ocw
Zenaga;ber
Kinga;bnt-bki
Moroccan Amazigh;ber
Magori;poz-ocw
Zhire;nic-plc
Nong Zhuang;tai-cen
Zhoa;nic-rnw
Zia;ngf
Zimakani;ngf
Zialo;dmn-msw
Mesme;cdc-mas
Zinza;bnt-haj
Ziriya;nic-jer
Zigula;bnt-seu
Zizilivakan;cdc-cbm
Kaimbulawa;poz-mun
Koibal;syd
Kadu (Myanmar);sit-luu
Goguryeo;qfa-kor
Khorezmian Turkic;trk-kar
Kott;qfa-yso
São Paulo Kaingáng;sai-jee
Zakhring;sit-mdz
Khitan;qfa-xgx
Kaurna;aus-psw
Krevinian;urj-fin
Khazar;trk-ogr
Manda (Australia);aus-dal
Zimba;bnt-lgb
Margany;aus-pam
Maridan;aus-dal
Mfinu;bnt-tek
Marti Ke;aus-dal
Makolkol;paa-bng
Negeri Sembilan Malay;poz-mly
Maridjabin;aus-dal
Mandandanyi;aus-pam
Madngele;aus-dal
Marimanindji;aus-dal
Mbangwe;bnt-kel
Molo;sdv-eje
Mbuun;bnt
Mituku;bnt-mbe
Maranungku;aus-dal
Mbesa;bnt-ske
Maringarr;aus-dal
Muruwari;aus-pam
Mbariman-Gudhinma;aus-pmn
Mbo (Congo);bnt-nya
Bomitaba;bnt-ngn
Mariyedi;aus-dal
Mbandja;bad
Zan Gula;alv-bua
Zande;znd
Manangkari;aus-wdj
Mangas;cdc-wst
Copainalá Zoque;nai-miz
Chimalapa Zoque;nai-miz
Zou;tbq-kuk
Asunción Mixtepec Zapotec;omq-zap
Tabasco Zoque;nai-miz
Rayón Zoque;nai-miz
Francisco León Zoque;nai-miz
Lachiguiri Zapotec;omq-zap
Yautepec Zapotec;omq-zap
Choapan Zapotec;omq-zap
Southeastern Ixtlán Zapotec;omq-zap
Petapa Zapotec;omq-zap
San Pedro Quiatoni Zapotec;omq-zpc
Guevea de Humboldt Zapotec;omq-zap
Totomachapan Zapotec;omq-zap
Santa María Quiegolani Zapotec;omq-zpc
Quiavicuzas Zapotec;omq-zap
Tlacolulita Zapotec;omq-zpc
Lachixío Zapotec;omq-zap
Mixtepec Zapotec;omq-zpc
Santa Inés Yatzechi Zapotec;omq-zap
Amatlán Zapotec;omq-zpc
El Alto Zapotec;omq-zap
Zoogocho Zapotec;omq-zpc
Santiago Xanica Zapotec;omq-zap
Coatlán Zapotec;omq-zap
San Vicente Coatlán Zapotec;omq-zap
Yalálag Zapotec;omq-zpc
Chichicapan Zapotec;omq-zap
Zaniza Zapotec;omq-zpc
San Baltazar Loxicha Zapotec;omq-zap
Mazaltepec Zapotec;omq-zap
Texmelucan Zapotec;omq-zpc
Gaya;qfa-kor
Zirenkel;cdc-est
Záparo;sai-zap
Mairasi;paa-mai
Southern Rincon Zapotec;omq-zpc
Elotepec Zapotec;omq-zap
Xanaguía Zapotec;omq-zpc
Lapaguía-Guivini Zapotec;omq-zap
San Agustín Mixtepec Zapotec;omq-zap
Santa Catarina Albarradas Zapotec;omq-zap
Loxicha Zapotec;omq-zap
Quioquitani-Quierí Zapotec;omq-zpc
Tilquiapan Zapotec;omq-zpc
Tejalapan Zapotec;omq-zap
San Pablo Güilá Zapotec;omq-zap
Zaachila Zapotec;omq-zap
Yatee Zapotec;omq-zpc
Zeem;cdc-wst
Tokano;ngf
Kumzari;ira-swi
Zuni;qfa-iso
Zumaya;cdc-mas
Zay;sem-eth
Zyphe;tbq-kuk
Zazaki;ira-zgr
Zuojiang Zhuang;tai-cen

