ǃKung;khi-kun
Hemba;hem
Herdé;hed
Hewa;ham
Hibito;hib
Highland Konjo;kjk
Hijuk;hij
Himarimã;hir
Hindi Dogri;dgo
Hinduri;hii
Hixkaryána;hix
Hlepho Phowa;yhl
Hlersu;hle
Hmong Daw;mww
Hmong Dô;hmv
Hmong Don;hmf
Hmong Njua;hnj
Hmong Shua;hmz
Hmong;hmn
Hoia Hoia;hhi
Holiya;hoy
Hõne;juh
Hong Kong Sign Language;hks
Honi;how
Horned Miao;hrm
Horo;hor
Horpa;ero
Horuru;hrr
Hovongan;hov
Hozo;hoz
Hrangkhol;hra
Hre;hre
Hruso;hru
Hu;huo
Huba;hbb
Huehuetla Tepehua;tee
Hulung;huk
Humburi Senni Songhay;hmb
Humla;hut
Hung;hnu
Hungana;hum
Hunjara-Kaina Ke;hkk
Hunnic;xhc
Hun-Saare;dud
Hupla;hap
Iapama;iap
Iatmul;ian
Iau;tmu
Ibali Teke;tek
Ibani;iby
Ibilo;ibi
Ibu;ibu
Ibuoro;ibr
Idakho-Isukha-Tiriki;ida
Idere;ide
Idon;idc
Idu-Mishmi;clk
Iduna;viv
Iha Based Pidgin;ihb
Iha;ihp
Ika;ikk
Iku-Gora-Ankwa;ikv
Ikwere;ikw
Ile Ape;ila
Ili'uun;ilu
Ilwana;mlk
Imbongu;imo
Imeraguen;ime
Imonda;imn
Imroing;imr
Indian Sign Language;ins
Indri;idr
Indus Valley Language;xiv
Inebu One;oin
Inlaod Itneg;iti
Inoke-Yate;ino
Inpui Naga;nkf
International Sign;ils
Ipiko;ipo
Ipili;ipi
Ir;irr
Irántxe;irn
Irigwe;iri
Isabi;isa
Isebe;igo
Isekiri;its
Isirawa;srl
Island Carib;crb
Isthmus-Cosoleacaque Nahuatl;nhk
Isthmus-Mecayapan Nahuatl;nhx
Isthmus-Pajapan Nahuatl;nhp
Iteri;itr
Itik;itx
Itonama;ito
Itzá;itz
I-Wak;iwk
Iwam;iwm
Ivbie North-Okpela-Arhe;atg
Iwur;iwo
Ixcatec;ixc
Izi-Ezaa-Ikwo-Mgbo;izi
Jad;jda
Jadgali;jdg
Jaimatang;xjt
Jakun;jak
Jalapa De Díaz Mazatec;maj
Jamsay Dogon;djm
Jangkang;djo
Janji;jni
Jebero;jeb
Jehai;jhi
Jere;jer
Jèrriais;roa-jer
Jersey Dutch;gmw-jdt
Jerung;jee
Jhankot Sign Language;jhs
Jiamao;jio
Jiarong;jya
Jiba;juo
Jilbe;jie
Jilim;jil
Jina;jia
Jingulu;jig
Jinyu;cjy
Jiongnai Bunu;pnu
Jirel;jul
Jiru;jrr
Joba;job
Jofotek-Bromnya;jbr
Jonkor Bourmataguil;jeu
Jorto;jrt
Ju;juu
Judeo-Arabic;jrb
Judeo-Berber;jbe
Judeo-Georgian;jge
Judeo-Iraqi Arabic;yhd
Judeo-Moroccan Arabic;aju
Judeo-Tripolitanian Arabic;yud
Judeo-Tunisian Arabic;ajt
Judeo-Yemeni Arabic;jye
Jumla Sign Language;jus
Jumli;jml
Juquila Mixe;mxq
Juray;juy
Kaamba;xku
Kaan;ldl
Kaansa;gna
Kaapor Sign Language;uks
Kaba;ksp
Kabalai;kvf
Kabixí;xbx
Kabola;klz
Kaburi;uka
Kabutra;kbu
Kabwari;kcw
Kachama-Ganjule;kcx
Kachari;xac
Kachi Koli;gjk
Kacipo-Balesi;koe
Kaco';xkk
Kadar;kej
Kado;kdv
Kaduo;ktp
Kafoa;kpu
Kagan Kalagan;kll
Kagoma;kdm
Kagoro;xkg
Kaian;kct
Kaibobo;kzb
Kaikadi;kep
Kaike;kzq
Kaimbé;xai
Kairui-Midiki;krd
Kaivi;kce
Kaiy;tcq
Kakanda;kka
Kakauhua;kbf
Kako;kkj
Kakwa;keo
Kalaamaya;lkm
Kalabari;ijn
Kalam;kmh
Kalamsé;knz
Kalanadi;wkl
Kalao;kly
Kalapuya;kyl
Kalumpang;kli
Kam;kdx
Kamantan;kci
Kamar;keq
Kamara;jmr
Kamaru;kgx
Kamasa;klp
Kamayo;kyk
Kambaira;kyy
Kamberau;irx
Kambiwá;xbw
Kamo;kcq
Kamoro;kgq
Kamu;xmu
Kamula;xla
Kamwe;hig
Kamviri;xvi
Kanamarí;knm
Kanashi;xns
Kanasi;soq
Kanauji;bjj
Kanembu;kbl
Kang;kyp
Kaningdon-Nindem;kdp
Kaningi;kzo
Kaningra;knr
Kanite;kmu
Kannada Kurumba;kfi
Kanoé;kxo
Kanowit-Tanjong Melanau;kxn
Kantosi;xkt
Kanu;khx
Kanyok;kny
Kao;kax
Kapauri;khp
Kapinawá;xpn
Kapya;klo
Kara (Papua New Guinea);leu
Kara (Tanzania);reg
Karaga Mandaya;mry
Karahawyana;xkh
Karami;xar
Karanga;kth
Karankawa;zkk
Karas;kgv
Karawa;xrw
Karenggapa;eaa
Karey;kyd
Karipúna;kgm
Karirí-Xocó;kzw
Kariya;kil
Karko;kko
Karo;kxh
Karolanos;kyn
Karon Dori;kgw
Karon;krx
Karore;xkx
Karuwali;rxw
Kasiguranin;ksn
Kaskean;zsk
Kasseng;kgc
Kasua;khs
Kataang;kgd
Katabaga;ktq
Katawixi;xat
Kathoriya Tharu;tkt
Kathu;ykt
Kati;bsh
Katkari;kfu
Katla;kcr
Katso;kaf
Katua;kta
Katukína;kav
Kaulong;pss
Kaur;vkk
Kauwera;xau
Kawacha;kcb
Kawe;kgb
Kaxuiâna;kbb
Kaya;zra
Kayagar;kyt
Kayan Mahakam;xay
Kayan River Kayan;xkn
Kayong;kxy
Kayupulau;kzu
Kazukuru;kzk
Keak;keh
Keder;kdy
Kehu;khh
Kei;kei
Kélé;keb
Keliko;kbo
Kelo;xel
Kelon;kyo
Kembayan;xem
Kembra;xkw
Kemiehua;kfj
Kemtuik;kmt
Kenaboi;xbn
Kendeje;klf
Kenga;kyq
Kensiu;kns
Kenuzi-Dongola;kzh
Kenyan Sign Language;xki
Kenyi;lke
Ke'o;xxk
Keoru-Ahia;xeu
Kepo';kuk
Kerak;hhr
Kerewe;ked
Kerewo;kxz
Ketangalan;kae
Kete;kcv
Ketengban;xte
Ketum;ktt
Keyagana;kyg
Khalaj;kjf
Kham;kjl
Khamba;kbg
Khams Tibetan;khg
Khamyang;ksu
Khandesi;khn
Kháng;kjm
Khanty;kca
Khao;xao
Kharam Naga;kfw
Kharia Thar;ksy
Kharia;khr
Khayo;lko
Khe;kqg
Khehek;tlx
Khezha Naga;nkh
Khirwar;kwx
Khisa;kqm
Khlor;llo
Khlula;ykl
Khoibu Naga;nkb
Kho'ini;xkc
Kholok;ktc
Khorezmian;zkh
Khua;xhv
Khuen;khf
Khumi Awa Chin;cka
Khunsari;kfm
Kibet;kie
Kibiri;prm
Kikumu;kmw
Kilmeri;kih
Kim;kia
Kimaama;kig
Kimbu;kiv
Kimki;sbt
Kimré;kqp
Kinalakna;kco
Kintaq;knq
Kinuku;kkd
Kinyabemba;bmy
Kioko;ues
Kiorr;xko
Kipsigis;sgc
Kirike;okr
Kirikiri;kiy
Kisankasa;kqh
Kisi;kiz
Kita Maninkakan;mwk
Kiunum;wei
Klao;klu
Klias River Kadazan;kqt
Koalib;kib
Koba;kpd
Kobiana;kcj
Kobol;kgu
Koch;kdq
Kochila Tharu;thq
Kodaku;ksz
Kodeoha;vko
Kodia;kwp
Koenoem;kcs
Kofa;kso
Kohin;kkx
Koi;kkt
Koireng;nkd
Koitabu;kqi
Koiwat;kxt
Kokata;ktd
Koke;kou
Kokoda;xod
Kol;biw
Kola;kvv
Kolbila;klc
Kom (India);kmm
Koma;kmy
Komba;kpf
Kombai;tyn
Kompane;kvp
Kon Keu;kkn
Konai;kxw
Koneraw;kdw
Konni;kma
Kono;kno
Konyanka Maninka;mku
Konzo;koo
Koongo;kng
Kopar;xop
Korafe-Yegha;kpr
Korak;koz
Korandje;kcy
Korean Sign Language;kvk
Koromira;kqj
Koroni;xkq
Koropó;xxr
Korowai;khe
Korubo;xor
Korupun-Sela;kpq
Korwa;kfp
Kosadle;kiq
Kosarek Yale;kkl
Kota Bangun Kutai Malay;mqg
Kota Marudu Tinagas;ktr
Kotafon Gbe;kqk
Kouya;kyf
Kovai;kqb
Kowaki;xow
Koy Sanjaq Surat;kqd
Koyaga;kga
Koyra Chiini Songhay;khq
Koyraboro Senni Songhai;ses
Kpagua;kuw
Kpatili;kym
Kpeego;cpo
Kpessi;kef
Kplang;kph
Krache;kye
Krahô;xra
Krenak;kqq
Kresh;krs
Kreye;xre
Krikati-Timbira;xri
Krim;krm
Kriol;rop
Kristang;cpp
Kru'ng;krr
Kua;tyu
Kuan;uan
Kuanhua;xnh
Kube;kgf
Kubo;jko
Kubu;kvb
Kucong;lkc
Kudiya;kfg
Kudu-Camo;kov
Kugama;kow
Kui;kxu
Kuijau;dkr
Kuikúro-Kalapálo;kui
Kujarge;vkj
Kukatja;kux
Kuku-Mu'inh;xmp
Kuku-Muminh;xmh
Kuku-Ugbanh;ugb
Kuku-Uwanh;uwa
Kula;tpg
Kulaal;glj
Kulere;kul
Kulfa;kxj
Kulina;xpk
Kulung;kle
Kumam;kdi
Kumba;ksm
Kumbainggar;kgs
Kumbaran;wkb
Kumbewaha;xks
Kumiai;dih
Kumukio;kuo
Kunama;kun
Kunduvadi;wku
Kunggara;kvs
Kunggari;kgl
Kungkari;lku
Kuni-Boazi;kvg
Kunimaipa;kup
Kunja;pep
Kunza;kuz
Kuo;xuo
Kuot;kto
Kupa;kug
Kupia;key
Kupsabiny;kpz
Kura Ede Nago;nqk
Kurama;krh
Kurmukar;kfv
Kurtokha;xkz
Kushi;kuh
Kusu;ksv
Kutep;kub
Kuthant;xut
Kutto;kpa
Kutu;kdc
Kuuku-Ya'u;kuy
Kwaami;ksq
Kw'adza;wka
Kwakum;kwu
Kwama;kmq
Kwambi;kwm
Kwami;ktf
Kwanga;kwj
Kwaza;xwa
Kwegu;xwg
Kwer;kwr
Kwerba Mamberamo;xwr
Kwerba;kwe
Kwerisa;kkb
Kwese;kws
Kwesten;kwt
Kwinsu;kuc
Kwoma;kmo
Kwomtari;kwo
Kxoe;xuu
Kyaka;kyc
Kyan-Karyaw Naga;nqq
Kyenele;kql
Kyerung;kgy
Kölsch;ksh
Laari;ldi
Laba;lau
La'bi;lbi
Labir;jku
Labo Phowa;ypb
Lachi;lbt
Laeko-Libuat;lkl
Lafofa;laf
Laghuu;lgh
Lahta Karen;kvt
Lahu Shi;lhi
Lahul Lohar;lhl
Laimbue;lmx
Laiyolo;lji
Lakha;lkh
Lakkia;lbc
Lala;nrz
Lala-Bisa;leb
Lala-Roba;lla
Lalia;lal
Lamalera;lmr
Lamam;lmm
Lamatuka;lmq
Lamboya;lmy
Lambya;lai
Lamet;lbn
Lamja-Dengsa-Tola;ldh
Lamkang;lmk
Lamma;lev
Lamnso';lns
Lamu;llh
Lamu-Lamu;lby
Lanas Lobu;ruu
Landoma;ldm
Langbashe;lna
Lang'e;yne
Langi;lag
Langnian Buyang;yln
Lango;laj
Lanoh;lnh
Lao Naga;nlq
Laomian;lwm
Laopang;lbg
Laos Sign Language;lso
Lapine;art-lap
Lapuyan Subanun;laa
Laragia;lrg
Larevat;lrv
Lari;lrl
Laro;lro
Lasalimu;llm
Lasgerdi;lsa
Latu;ltu
Latvian Sign Language;lsl
Laua;luf
Laura;lur
Lave;brb
Lawu;lwu
Lawunuia;tgi
Leco;lec
Leelau;ldk
Lefa;lfa
Lega-Mwenga;lgm
Lega-Shabunda;lea
Lehalurup;urr
Leinong Naga;lzn
Lele;llc
Lelemi;lef
Lembena;leq
Lemio;lei
Lemolang;ley
Lemoro;ldj
Lenca;len
Lengola;lej
Lengua;leg
Leningitij;lnj
Lenje;leh
Leonese;roa-leo
Lepki;lpe
Lere;gnh
Lese;les
Lewo Eleng;lwe
Lewotobi;lwt
Levuka;lvu
Lhaovo;mhx
Lhokpu;lhp
Lhomi;lhm
Liabuku;lix
Liana-Seti;ste
Liangmai Naga;njn
Lianshan Zhuang;zln
Liberian English;lir
Libido;liq
Libinza;liz
Liburnian;xli
Libyan Sign Language;lbs
Ligbi;lig
Ligenza;lgz
Lijili;mgi
Lika;lik
Likila;lie
Likuba;kxx
Likwala;kwc
Lilau;lll
Limi;ylm
Limilngan;lmc
Linear A;lab
Lingarak;lgk
Lingkhim;lii
Lisabata-Nuniali;lcs
Lish;lsh
Lishán Didán;trg
Lithuanian Sign Language;lls
Liujiang Zhuang;zlj
Liuqian Zhuang;zlq
Loarki;lrk
Lobala;loq
Lobi;lob
Lodhi;lbm
Logo;log
Logol;lof
Logorik;liu
Logudorese Sardinian;src
Lokoya;lky
Lolak;llq
Lole;llg
Lombardic;lng
Lombi;lmi
Lombo;loo
Loncong;lce
Long Phuri Naga;lpn
Long Wat;ttw
Longgu;lgu
Lonzo;lnz
Loo;ldo
Lopa;lop
Lopi;lov
Lopit;lpx
Lorang;lrn
Loreto-Ucayali Spanish;spq
Lotha Naga;njh
Lotuko;lot
Louisiana Creole French;lou
Lowa;loy
Lower Burdekin;xbb
Lower Tanudan Kalinga;kml
Lower Ta'oih;tto
Lua';prb
Lubu;lcf
Luchazi;lch
Lucumi;luq
Lugbara;lgg
Lui;lba
Luimbi;lum
Luiseno;lui
Lule;ule
Lumbee;lmz
Lumbu;lup
Lumun;lmd
Luna;luj
Luopohe Hmong;hml
Luri;ldd
Lusengo;lse
Lutachoni;lts
Luyana;lyn
Lwalu;lwa
Lyélé;lee
Lyngngam;lyg
Lyons Sign Language;lsg
Maa;cma
Maale;mdy
Maasina Fulfulde;ffm
Maba;mqa
Mabaale;mmz
Mabaan;mfz
Mabaka Valley Kalinga;kkg
Mabire;muj
Machinga;mvw
Maco;wpc
Mada;mda
Madagascar Sign Language;mzc
Maden;xmx
Ma'di;mhi
Madukayang Kalinga;kmd
Mae;mme
Maek;hmk
Maeng Itneg;itt
Mafea;mkv
Magahat;mtw
Mághdì;gmd
Magoma;gmx
Mahali;mjx
Maharastri Prakrit;pmh
Mahongwe;mhb
Mahou;mxx
Mailu;mgu
Maisin;mbq
Majang;mpe
Majhi;mjz
Majhwar;mmj
Makaa;mcp
Makhuwa-Moniga;mhm
Maklew;mgf
Maku'a;lva
Makuri Naga;jmn
Makwe;ymk
Makyan Naga;umn
Mal;mlf
Mala Malasar;ima
Malaccan Creole Portuguese;mcm
Malankuravan;mjo
Malapandaram;mjp
Malaryan;mjq
Malas;mkr
Malasar;ymr
Malawi Sena;swk
Malayic Dayak;xdy
Malaynon;mlz
Malayo;mbp
Malaysian Sign Language;xml
Male;mdc
Maleng;pkt
Maleu-Kilenge;mgl
Malgbe;mxf
Malimba;mzd
Malimpung;mli
Malo;mla
Maltese Sign Language;mdl
Malto;mjt
Malyangapa;yga
Mama;mma
Mambai;mcs
Mamboru;mvd
Mamvu;mdi
Man Cao Lan;mlc
Man Met;mml
Manda;mha
Mandahuaca;mht
Mandalorian;art-man
Mandari;mqu
Mander;mqr
Mandjak;mfv
Manem;jet
Mang;zng
Manga Kanuri;kby
Mangala;mem
Mangarayi;mpc
Mangayat;myj
Mangbetu;mdj
Mangbutu;mdk
Mangerr;zme
Manichaean Middle Persian;xmn
Manikion;mnx
Mankanya;knf
Manna-Dora;mju
Mansi;mns
Mansoanka;msw
Mantsi;nty
Manusela;wha
Manya;mzj
Manyika;mxc
Manza;mzv
Mape;mlh
Mapena;mnm
Maquiritari;mch
Mara;mec
Marachi;lri
Maram Naga;nma
Maramba;myd
Maranunggu;zmr
Mararit;mgb
Marba;mpg
Marfa;mvu
Marghi Central;mrt
Marghi South;mfm
Margu;mhg
Mari;\N
Marind;mrz
Maring Naga;nng
Maring;mbw
Marino;mrb
Mariri;mqi
Maritime Sign Language;nsr
Maroon Spirit Language;cpe-mar
Marriammu;xru
Masaaba;myx
Masadiit Itneg;tis
Masalit;mls
Masana;mcn
Mashi;jms
Maskoy Pidgin;mhh
Maslam;msv
Masmaje;mes
Massalat;mdg
Massep;mvs
Matagalpa;mtn
Matbat;xmt
Matepi;mqe
Mato Grosso Arára;axg
Mator-Taygi-Karagas;ymt
Mauritian Sign Language;lsy
Mauwake;mhl
Mawak;mjj
Mawan;mcz
Mawayana;mzx
Mawchi;mke
Mawes;mgk
Maxi Gbe;mxl
Ma'ya;slz
Mayaguduna;xmy
Mayeka;myc
Mazatlán Mixe;mzl
Mbala;mdp
Mbalanhu;lnb
Mbangala;mxg
Mbati;mdn
Mbelime;mql
Mbere;mdt
Mbo (Democratic Republic of the Congo);zmw
Mboi;moi
Mboko;mdu
Mbole;mdq
Mbosi;mdw
Mbowe;mxo
Mbre;mka
Mbugwe;mgz
Mbukushu;mhw
Mbum;mdd
Mbunga;mgy
Mea;meg
Mebu;mjn
Mediak;mwx
Median;xme
Me'en;mym
Mefele;mfj
Megam;mef
Mekeo;mek
Mekmek;mvk
Melo;mfx
Melpa;med
Mendalam Kayan;xkd
Mengen;mee
Mengisa;mct
Menya;mcr
Mer;mnu
Merlav;mrm
Mese;mci
Mesmes;mys
Mesqan;mvz
Meyah;mej
Miani;pla
Middle Chinese;zhx-mid
Middle Hittite;htx
Middle Mongolian;xng
Middle Norwegian;gmq-mno
Migabac;mpp
Miji;sjl
Miju-Mishmi;mxj
Mili;ymh
Miltu;mlj
Min Bei;mnp
Min Dong;cdo
Min Zhong;czo
Minang;xrg
Minanibai;mcv
Mingang Doso;mko
Mingo;iro-min
Minkin;xxm
Minoan;omn
Minokok;mqq
Minriq;mnq
Mintil;mzt
Minz Zhuang;zgm
Miqie;yiq
Mire;mvh
Mirgan;zrg
Mirpur Panjabi;pmu
Miwa;vmi
Mixifore;mfg
Mlabri;mra
Mlap;kja
Mlomp;mlo
Mocho;mhc
Modole;mqo
Moere;mvq
Moikodi;mkp
Moingi;mwz
Moji;ymi
Mok;mqt
Moken;mwt
Moklen;mkm
Moksela;vms
Moldova Sign Language;vsi
Molise Croatian;svm
Molof;msl
Mom Jango;ver
Moma;myl
Momare;msz
Mombum;mso
Momina;mmb
Momuna;mqf
Monastic Sign Language;mzg
Mondropolon;npn
Mongolian Sign Language;msr
Monguor;mjg
Moni;mnz
Monimbo;mom
Mono (Democratic Republic of the Congo);mnh
Mono (United States of America);mnr
Monom;moo
Monsang Naga;nmh
Monumbo;mxk
Moraid;msg
Morawa;mze
More;mos
Moresada;msx
Mori Atas;mzq
Morigi;mdb
Moroccan Sign Language;xms
Morori;mok
Moru;mgd
Mosiro;mwy
Moskona;mtj
Motlav;mlv
Mountain Koiali;kpx
Movima;mzp
Moyadan Itneg;ity
Moyon Naga;nmo
Mozambican Sign Language;mzy
