'Are'are;alu
Alemannic German;gsw
Aleut;ale
Algerian Arabic;arq
Algerian Saharan Arabic;aao
Algerian Sign Language;asp
Algonquin;alq
Ali;aiy
Alladian;ald
Allar;all
Alngith;aid
Alo Phola;ypo
Aloápam Zapotec;zaq
Alor;aol
Alorese;aol
Alsea;aes
Alu Kurumba;xua
Alu;mte
Alugu;aub
Alumu-Tesu;aab
Alune;alp
Aluo;yna
Alur;alz
Alutiiq;ems
Alutor;alr
Alviri-Vidari;avd
Alyawarr;aly
Ama;amm
Amahai;amq
Amahuaca;amc
Amaimon;ali
Amal;aad
Amanab;amn
Amanayé;ama
Amara;aie
Amarakaeri;amr
Amarasi;aaz
Amatlán Zapotec;zpo
Amba;rwm
Ambai;amk
Ambakich;aew
Ambala Ayta;abc
Ambelau;amv
Ambele;ael
Amblong;alm
Ambo;amb
Ambonese Malay;abs
Ambrak;aag
Ambul;apo
Ambulas;abt
Amdang;amj
Amdo Tibetan;adx
Amele;aey
American Sign Language;ase
Amganad Ifugao;ifa
Amharic;am
Ami;amy
Amis;ami
Ammonite;sem-amm
Amo;amo
Amol;alx
Amoltepec Mixtec;mbz
Amondawa;adw
Ampanang;apg
Ampari Dogon;aqd
Amri Karbi;ajz
Amto;amt
Amundava;adw
Amurdag;amg
Amuzgo;amu
Anāl;anm
Ana Tinga Dogon;dti
Anaang;anw
Anakalangu;akg
Anal;anm
Anam;pda
Anambé;aan
Anamgura;imi
Anasi;bpo
Ancient Greek;grc
Ancient Ligurian;xlg
Ancient Macedonian;xmk
Ancient North Arabian;xna
Ancient Zapotec;xzp
Andai;afd
Andajin;ajn
Andalusian Arabic;xaa
Andaman Creole Hindi;hca
Andaqui;ana
Andarum;aod
Andegerebinha;adg
Andh;anr
Andi;ani
Andio;bzb
Andoa;anb
Andoque;ano
Andra-Hus;anx
Aneityum;aty
Anem;anz
Aneme Wake;aby
Anfillo;myo
Angaataha;agm
Angaité;aqt
Angal Enen;aoe
Angal Heneng;akh
Angal;age
Angami;njm
Angas;anc
Angguruk Yali;yli
Angika;anp
Angkamuthi;avm
Angkola Batak;akb
Angloromani;rme
Angolar;aoa
Angor;agg
Angoram;aog
Angosturas Tunebo;tnd
Anguthimri;awg
Ani Phowa;ypn
Anii;blo
Animere;anf
Anindilyakwa;aoi
Anjam;boj
Ankave;aak
Anmatyerre;amx
Annobonese;fab
Anong;nun
Anor;anj
Anserma;ans
Ansus;and
Antakarinya;ant
Antigua and Barbuda Creole English;aig
Antillean Creole;gcf
Anu;anl
Anuak;anu
Anufo;cko
Anuki;aui
Anus;auq
Anuta;aud
Anyi;any
Anyin Morofo;mtb
Anyin;any
Ao;njo
Aoheng;pni
Aore;aor
Ap Ma;kbx
Apalaí;apy
Apalachee;xap
Apali;ena
Apasco-Apoala Mixtec;mip
Apatani;apt
Apiaká;api
Apinayé;apn
Apma;app
Aproumu Aizi;ahp
Apurinã;apu
Aputai;apx
Aquitanian;xaq
Arabana;ard
Arabela;arl
Arabic;ar
Aragonese;an
Araki;akr
Arakwal;rkw
Aralle-Tabulahan;atq
Aramaic;arc
Aramanik;aam
Arammba;stk
Aranadan;aaf
Aranama-Tamique;xrt
Arandai;jbj
Araona;aro
Arapaho;arp
Arapaso;arj
Arara-Karo;arr
Ararandewára;xaj
Arawak;arw
Araweté;awt
Arawum;awm
Arbëreshë Albanian;aae
Arbore;arv
Archi;aqc
Ardhamagadhi Prakrit;pka
Are;mwc
Areba;aea
Arem;aem
Argentine Sign Language;aed
Argobba;agj
Arguni;agf
Arhö;aok
Arhâ;aqr
Arhuaco;arh
Ari;aac
Aribwatsa;laz
Aribwaung;ylu
Arifama-Miniafia;aai
Arigidi;aqg
Arikapú;ark
Arikara;ari
Arikem;ait
Arin;xrn
Aringa;luc
Arma;aoh
Armazic;xrm
Armenian Sign Language;aen
Armenian;hy
Aromanian;rup
Arop-Lokep;apr
Arop-Sissano;aps
Arosi;aia
Arta;atz
Aruá;arx
Arua;aru
Aruamu;msy
Aruek;aur
Aruop;lsr
Arutani;atx
Arvanitika Albanian;aat
As;asz
Asaro'o;mtv
Asas;asd
Ashéninka Pajonal;cjo
Ashéninka Perené;prq
Asháninka;cni
Ashe;ahs
Ashkun;ask
Asho Chin;csh
Ashtiani;atn
Asi;bno
Asilulu;asl
Askopan;eiv
Asoa;asv
Assamese;as
Assan;xss
Assangori;sjg
Assiniboine;asb
Assyrian Neo-Aramaic;aii
Asturian;ast
Asu;asa
Asu;aum
Asue Awyu;psa
Asumboa;aua
Asunción Mixtepec Zapotec;zoo
Asuri;asr
Ata Manobo;atd
Ata;atm
Atakapa;aqp
Atampaya;amz
Atatláhuca Mixtec;mib
Atayal;tay
Atemble;ate
Ateso;teo
Athpare;aph
Ati;atk
Atikamekw;atj
Atohwaim;aqm
Atong (Cameroon);ato
Atong (India);aot
Atong;ato
Atorada;aox
Atsahuaca;atc
Atsam;cch
Atsugewi;atw
Attapady Kurumba;pkr
Attié;ati
Atzingo Matlatzinca;ocu
Au;avt
Augila;auj
Auhelawa;kud
Aukan;djk
Aulua;aul
Aurá;aux
Aushi;auh
Aushiri;avs
Auslan;asf
Austral;aut
Australian Aboriginal Sign Language;asw
Australian Kriol;rop
Australian Manda;zma
Austrian Sign Language;asq
Austronesian Mari;hob
Austronesian Mor;mhz
Auwe;smf
Auyana;auy
Auye;auu
Auyokawa;auo
Avá-Canoeiro;avv
Avar;av
Avatime;avn
Avau;avb
Avava;tmb
Avestan;ae
Avikam;avi
Avokaya;avu
Awa-Cuaiquer;kwi
Awa (China);vwa
Awa (New Guinea);awb
Awa;awb
Awabakal;awk
Awad Bing;bcu
Awadhi;awa
Awak;awo
Awar;aya
Awara;awx
Awbono;awh
Aweer;bob
Awera;awr
Awetí;awe
Awing;azo
Awjila;auj
Awngi;awn
Awngthim;gwm
Awtuw;kmn
Awu;yiu
Awun;aww
Awutu;afu
Awyi;auw
Axamb;ahb
Axi Yi;yix
Ayabadhu;ayd
Ayautla Mazatec;vmy
Ayere;aye
Ayerrerenge;axe
Ayi;ayq
Ayizi;yyz
Ayizo Gbe;ayb
Ayizo;ayb
Aymara;ay
Aynu;aib
Ayoquesco Zapotec;zaf
Ayoreo;ayo
Ayu;ayu
Ayutla Mixtec;miy
Azeri;az
Azha;aza
Azhe;yiz
Azoyú Me'phaa;tpc
Bädi Kanum;khd
Baa;kwb
Baagandji;drl
Baan;bvj
Baangi;bqx
Baatonum;bba
Baba Malay;mbf
Baba;bbw
Babalia Creole Arabic;bbz
Babango;bbm
Babanki;bbk
Babatana;baa
Babine-Witsuwit'en;bcr
Babine;bcr
Babole;bvx
Babungo;bav
Babuza;bzg
Bacama;bcy
Bacanese Malay;btj
Bactrian;xbc
Bada;bhz
Badaga;bfq
Badanchi;bau
Bade;bde
Badeshi;bdz
Badimaya;bia
Badui;bac
Baduy;bac
Badyara;pbp
Baeggu;bvd
Baekje;pkc
Baelelea;bvc
Baetora;btr
Bafanji;bfj
Bafaw-Balong;bwt
Bafaw;bwt
Bafia;ksf
Bafut;bfd
Baga Binari;bcg
Baga Kaloum;bqf
Baga Koga;bgo
Baga Manduri;bmd
Baga Mboteni;bgm
Baga Pokur;bcg
Baga Sitemu;bsp
Baga Sobané;bsv
Bagheli;bfy
Bagirmi Fulfulde;fui
Bagirmi;bmi
Bago-Kusuntu;bqg
Bagri;bgq
Bagupi;bpi
Bagusa;bqb
Bagvalal;kva
Baha Buyang;yha
Baham;bdw
Bahamas Creole English;bah
Bahamian Creole;bah
Baharna Arabic;abv
Bahau;bhv
Bahinemo;bjh
Bahing;bhj
Bahnar;bdq
Bahonsuai;bsu
Bai;bdj
Baibai;bbf
Baikeno;bkx
Baima;bqh
Baimak;bmx
Bainouk-Gunyaamolo;bcz
Bainouk-Gunyuño;bab
Bainouk-Samik;bcb
Baiso;bsw
Baissa Fali;fah
Bajan;bjs
Bajelani;bjm
Bajjika;vjk
Baka;bkc
Bakairí;bkq
Bakaka;bqz
Bakhtiari;bqi
Baki;bki
Bakoko;bkh
Bakole;kme
Bakpinka;bbs
Bakulung;bbu
Bakumpai;bkr
Bakung;xkl
Bakwé;bjw
Balaesang;bls
Balangao;blw
Balangingi;sse
Balanta-Ganja;bjt
Balanta-Kentohe;ble
Balantak;blz
Balau;blg
Baldemu;bdn
Bali;bcp
Balinese Malay;mhp
Balinese;ban
Balkan Gagauz Turkish;bgx
Balkan Romani;rmn
Balo;bqo
Baloi;biz
Balti;bft
Baltic Romani;rml
Baluan-Pam;blq
Baluchi;bal
Bamako Sign Language;bog
Bamali;bbq
Bambalang;bmo
Bambam;ptu
Bambara;bm
Bambassi;myf
Bambili-Bambui;baw
Bamenyam;bce
Bamu;bcf
Bamukumbit;bqt
Bamum;bax
Bamun;bax
Bamunka;bvm
Bamwe;bmg
Ban Khor Sign Language;bfk
Bana;bcw
Banam Bay;vrt
Banao Itneg;bjx
Banaro;byz
Banda-Bambari;liy
Banda-Banda;bpd
Banda-Mbrès;bqk
Banda-Ndélé;bfl
Banda-Yangere;yaj
Banda (Indonesia);bnd
Banda Malay;bpq
Banda;bnd
Bandi;bza
Bandial;bqj
Bandjalang;bdy
Bandjigali;bjd
Bangala;bxg
Bangandu;bgf
Bangba;bbe
Banggai;bgz
Banggarla;bjb
Bangi Me;dba
Bangi;bni
Bangime;dba
Bangka;mfb
Bangolan;bgj
Bangubangu;bnx
Bangwinji;bsj
Baniva;bvv
Baniwa;bwi
Banjarese;bjn
Banka;bxw
Bankagooma;bxw
Bankan Tey Dogon;dbw
Bankon;abb
Bannoni;bcm
Banoni;bcm
Bantawa;bap
Bantayanon;bfx
Bantik;bnq
Banyumasan;map-bms
Baoulé;bci
Baoule;bci
Barí;mot
Baré;bae
Baraamu;brd
Barai;bbb
Barakai;baj
Baram Kayan;kys
Barama;bbg
Barambu;brm
Baramu;bmz
Barapasi;brp
Baras;brs
Barasana;bsn
Barbacoas;bpb
Barbareño;boi
Barclayville Grebo;gry
Bardi;bcj
Barein;bva
Bargam;mlp
Bari;bfa
Bariai;bch
Bariji;bjc
Barikanchi;bxo
Barikewa;jbk
Barngarla;bjb
Barok;bjk
Barombi;bbi
Barro Negro Tunebo;tbn
Barrow Point;bpt
Baruga;bjz
Baruya;byr
Barwe;bwg
Barzani Jewish Neo-Aramaic;bjf
Basa-Gumna;bsl
Basa-Gurmana;buj
Basa;bzw
Basaa;bas
Basap;bdb
Basay;byq
Bashkardi;bsg
Bashkir;ba
Basketo;bst
Basque;eu
Bassa-Kontagora;bsr
Bassa;bsq
Bassari;bsc
Bassossi;bsi
Bata;bta
Bataan Ayta;ayt
Batad Ifugao;ifb
Batak Dairi;\N
Batak Karo;\N
Batak Toba;\N
Batak;bya
Batanga;bnm
Batek;btq
Bateri;btv
Bathari;bhm
Bati (Cameroon);btc
Bati (Indonesia);bvt
Bats;bbl
Batu;btu
Batui;zbt
Batuley;bay
Batyala;xby
Bau Bidayuh;sne
Bau;bbd
Bauchi;bsf
Baure;brg
Bauria;bge
Bauro;bxa
Bauwaki;bwk
Bauzi;bvz
Bavarian;bar
Bawm Chin;bgr
Bay Miwok;mkq
Bayali;bjy
Baybayanon;bvy
Baygo;byg
Bayono;byl
Bayot;bda
Bayungu;bxj
Bazigar;bfr
Beami;beo
Beaver;bea
Beba;bfp
Bebe;bzv
Bebele;beb
Bebeli;bek
Bebil;bxp
Bedik;tnr
Bedjond;bjv
Bedoanas;bed
Beeke;bkf
Beele;bxq
Beembe;beq
Beezen;bnz
Befang;bby
Begbere-Ejar;bqv
Beja;bej
Bekati';bei
Bekwarra;bkv
Bekwel;bkw
Belait;beg
Belanda Bor;bxb
Belanda Viri;bvi
Belarusian;be
Belhariya;byw
Beli;blm
Belize Kriol English;bzj
Belizean Creole;bzj
Bella Coola;blc
Bellari;brw
Bemba;bem
Bembe;bmb
Ben Tey Dogon;dbt
Ben Tey;dbt
Bena;yun
Benabena;bef
Bench;bcq
Bende;bdp
Bendi;bct
Beneraf;bnv
Beng;nhb
Benga;bng
Bengali;bn
Benggoi;bgy
Bengkala Sign Language;bqy
Bentong;bnu
Benyadu';byd
Beothuk;bue
Bepour;bie
Bera;brf
Berakou;bxv
Berau Malay;bve
Berawan;lod
Berbice Creole Dutch;brc
Berik;bkl
Berinomo;bit
Berom;bom
Berta;wti
Berti;byt
Besisi;mhe
Besme;bes
Besoa;bep
Betaf;bfe
Betawi;bew
Bete-Bendi;btt
Bete;byf
Betta Kurumba;xub
Bezhta;kap
Bhadrawahi;bhd
Bhalay;bhx
Bharia;bha
Bhatola;btl
Bhatri;bgw
Bhattiyali;bht
Bhaya;bhe
Bhele;bhy
Bhilali;bhi
Bhili;bhb
Bhojpuri;bho
Bhoti Kinnauri;nes
Bhunjia;bhu
Biafada;bif
Biage;bdf
Biak;bhw
Biali;beh
Bian Marind;bpv
Biangai;big
Biao-Jiao Mien;bje
Biao Mon;bmt
Biao;byk
Biatah Bidayuh;bth
Bibaali;bcn
Bibbulman;xbp
Bidiyo;bid
Bidyara;bym
Bidyogo;bjg
Biem;bmc
Bierebo;bnk
Bieria;brj
Biete;biu
Big Nambas;nmb
Biga;bhc
Bigambal;xbe
Bih;ibh
Bihari;bh
Bijori;bix
Bikaru;bic
Bikol Central;bcl
Bikol;bik
Bikya;byb
Bila;bip
Bilakura;bql
Bilaspuri;kfs
Bilba;bpz
Bilbil;brz
Bile;bil
Biliau;bcu
Bilma Kanuri;bms
Biloxi;bll
Bilua;blb
Bilur;bxf
Bima;bhp
Bimin;bhl
Bimoba;bim
Bina;bmn
Binahari;bxz
Binandere;bhg
Binawa;byj
Bindal;xbd
Bine;bon
Bini;bin
Binji;bpj
Binongan Itneg;itb
Bintauna;bne
Bintulu;bny
Binukid;bkd
Binumarien;bjr
Bipi;biq
Birao;brr
Birgid;brk
Birgit;btf
Birhor;biy
Biri;bzr
Biritai;bqq
Birked;brk
Birri;bvq
Birrpayi;xbj
Birwa;brl
Bisaya;\N
Biseni;ije
Bishnupriya Manipuri;bpy
Bishuo;bwh
Bisis;bnw
Bislama;bi
Bisorio;bir
Bissa;bib
Bisu;bzi
Bit;bgk
Bitare;brt
Bitur;mcc
Biwat;bwm
Biyo;byo
Biyom;bpm
Blablanga;blp
Blackfoot;bla
Blafe;bfh
Blagar;beu
Blang;blr
Blin;byn
Bo-Rukul;mae
Bo-Ung;mux
Bo;bgl
Boano (Maluku);bzn
Boano (Sulawesi);bzl
Bobongko;bgb
Bobot;bty
Bodo (Central Africa);boy
Bodo (Central African Republic);boy
Bodo (India);brx
Bodo Gadaba;gbj
Bodo Parja;bdv
Bofi;bff
Boga;bvw
Bogaya;boq
Boghom;bux
Boguru;bqu
Bohtan Neo-Aramaic;bhn
Boikin;bzf
Bokha;ybk
Boko;bqc
Bokobaru;bus
Bokoto;bdt
Bokyi;bky
Bola;bnp
Bolak;art-blk
Bolango;bld
Bole;bol
Bolgo;bvo
Bolia;bli
Bolinao;smk
Bolivian Sign Language;bvl
Bolo;blv
Boloki;bkt
Bolon;bof
Bolondo;bzm
Bolongan;blj
Bolyu;ply
Bom;bmf
Boma;boh
Bomboli;bml
Bomboma;bws
Bomitaba;zmx
Bomu;bmq
Bomwali;bmw
Bon Gula;glc
Bonan;peh
Bondei;bou
Bondo;bfw
Bondoukou Kulango;kzc
Bondum Dom Dogon;dbu
Bonerate;bna
Bonggi;bdg
Bonggo;bpg
Bongili;bui
Bongo;bot
Bongu;bpu
Bonjo;bok
Bonkeng;bvg
Bonkiman;bop
Bontoc;bnc
Bookan;bnb
Boon;bnl
Boor;bvf
Borôro;bor
Bora;boa
Borana-Arsi-Guji Oromo;gax
Border Kuna;kvn
Borei;gai
Borgu Fulfulde;fue
Borong;ksr
Boruca;brn
Boselewa;bwf
Bosngun;bqs
Bote-Majhi;bmj
Botlikh;bph
Botolan Sambal;sbl
Bouna Kulango;nku
Bouyei;pcc
Bozaba;bzo
Bragat;aof
Brahui;brh
Braj;bra
Brazilian Sign Language;bzs
Brek Karen;kvl
Brem;buq
Breri;brq
Breton;br
Bribri;bzd
British Sign Language;bfi
Brokkat;bro
Brokpake;sgt
Brokskat;bkk
Brooke's Point Palawano;plw
Broome Pearling Lugger Pidgin;bpl
Brunei Bisaya;bsb
Brunei Malay;kxd
Brunei;kxd
Bu-Nao Bunu;bwx
Bu;jid
Bua;bub
Bualkhaw Chin;cbl
Buamu;box
Bube;bvb
Bubi;buw
Bubia;bbx
Budeh Stieng;stt
Budibud;btp
Budong-Budong;bdx
Budu;buu
Budukh;bdk
Buduma;bdm
Budza;bja
Bugan;bbh
Bugawac;buk
Bughotu;bgt
Buginese;bug
Buglere;sab
Bugun;bgg
Buhi'non Bikol;ubl
Buhid;bku
Buhutu;bxh
Bujhyal;byh
Bukar-Sadung Bidayuh;sdo
Bukat;bvk
Bukawa;buk
Bukhari;bhh
Bukit Malay;bvu
Bukitan;bkn
Bukiyip;ape
Buksa;tkb
Bukusu;bxk
Bukwen;buz
Bulgar;xbo
Bulgarian Sign Language;bqn
Bulgarian;bg
Bulgebi;bmp
Buli (Ghana);bwu
Buli (Indonesia);bzq
Bullom So;buy
Bulo Stieng;sti
Bulu (Cameroon);bum
Bulu (New Guinea);bjl
Bulu (Papua New Guinea);bjl
Bulu;bum
Bum;bmv
Bumaji;byp
Bumang;bvp
Bumbita Arapesh;aon
Bumthangkha;kjz
Bun;buv
Buna;bvn
Bunaba;bck
Bunak;bfn
Bunama;bdd
Bundeli;bns
Bung;bqd
Bungain;but
Bunganditj;xbg
Bungku;bkz
Bungu;wun
Bunoge Dogon;dgb
Bunoge;dgb
Bunun;bnn
Bunurong;aus-bun
Buol;blf
Bura-Pabir;bwr
Bura Mabang;mde
Bura;bwr
Burak;bys
Buraka;bkg
Burarra;bvr
Burate;bti
Burduna;bxn
Bure;bvh
Burji;bji
Burmbar;vrt
Burmese;my
Burmeso;bzu
Buru (Indonesia);mhs
Buru (Nigeria);bqw
Burui;bry
Burumakok;aip
Burun;bdi
Burunge;bds
Burushaski;bsk
Burusu;bqr
Buruwai;asi
Buryat;bua
Busa;bqp
Busam;bxs
Busami;bsm
Busang Kayan;bfg
Bushi;buc
Bushoong;buf
Buso;bso
Busoa;bup
Bussa;dox
Busuu;bju
Butbut Kalinga;kyb
Butmas-Tur;bnr
Butuanon;btw
Buwal;bhs
Buya;byy
Buyeo;xpy
Buyu;byi
Buyuan Jinuo;jiy
Bwa;bww
Bwaidoka;bwd
Bwanabwana;tte
Bwatoo;bwa
Bwe Karen;bwe
Bwela;bwl
Bwile;bwc
Bwisi;bwz
Byangsi;bee
Byep;mkk
Byzantine Greek;gkm
C'lela;dri
Cèmuhî;cam
Côông;cnc
Caac;msq
Cabécar;cjp
Cabiyarí;cbb
Cacaloxtepec Mixtec;miu
Cacaopera;ccr
Cacgia Roglai;roc
Cacua;cbv
Caddo;cad
Cafundó;ccd
Cafundo Creole;ccd
Cagua;cbh
Cahuarano;cah
Cahuilla;chl
Cajonos Zapotec;zad
Cajun French;frc
Caka;ckx
Cakchiquel-Quiché Mixed Language;ckz
Cakchiquel;cak
Cakfem-Mushere;cky
Caló;rmq
Calabrian Greek;grk-cal
Calamian Tagbanwa;tbk
Callawalla;caw
Caluyanun;clu
Camarines Norte Agta;abd
Camba;xba
Cameroon Mambila;mcu
Cameroon Pidgin;wes
Camling;rab
Campalagian;cml
Campidanese Sardinian;sro
Camsá;kbh
Camtho;cmt
Camunic;xcc
Candoshi-Shapra;cbu
Canela;ram
Canichana;caz
Cantonese;yue
Cao Miao;cov
Caolan;mlc
Capanahua;kaq
Capiznon;cps
Cappadocian Greek;cpg
Caquinte;cot
Car Nicobarese;caq
Cara;cfd
Carabayo;cby
Caramanta;crf
Carapana;cbc
Carian;xcr
Caribbean Hindustani;hns
Caribbean Javanese;jvn
Carijona;cbd
Carolina Algonquian;crr
Carolinian;cal
Carpathian Romani;rmc
Carpathian Rusyn;rue
Carrier;crx
Cashibo-Cacataibo;cbr
Cashinahua;cbs
Casiguran Dumagat Agta;dgc
Casuarina Coast Asmat;asc
Catalan Sign Language;csc
Catalan;ca
Catawba;chc
Cauca;cca
Cavineña;cav
Cayubaba;cyb
Cayuga;cay
Cayuse;xcy
Cebaara Senoufo;sef
Cebuano;ceb
Celtiberian;xce
Cemuhî;cam
Cen;cen
Centúúm;cet
Central-Eastern Niger Fulfulde;fuq
Central Asmat;cns
Central Atlas Tamazight;tzm
Central Awyu;awu
Central Aymara;ayr
Central Bai;bca
Central Berawan;zbc
Central Bontoc;lbk
Central Bontok;lbk
Central Cagayan Agta;agt
Central Dusun;dtp
Central Grebo;grv
Central Hongshuihe Zhuang;zch
Central Huasteca Nahuatl;nch
Central Huishui Hmong;hmc
Central Kanuri;knc
Central Kurdish;ckb
Central Maewo;mwo
Central Mahuatlán Zapoteco;zam
Central Malay;pse
Central Masela;mxz
Central Mashan Hmong;hmm
Central Mazahua;maz
Central Melanau;mel
Central Min;czo
Central Mnong;cmo
Central Nahuatl;nhn
Central Nicobarese;ncb
Central Ojibwa;ojc
Central Palawano;plc
Central Pame;pbs
Central Pomo;poo
Central Puebla Nahuatl;ncx
Central Sama;sml
Central Siberian Yupik;ess
Central Sierra Miwok;csm
Central Subanen;syb
Central Tagbanwa;tgt
Central Tarahumara;tar
Central Tunebo;tuf
Cerma;cme
Ch'orti';caa
Chácobo;cao
Chaap Wuurong;tjw
Chachi;cbi
Chadian Arabic;shu
Chadian Sign Language;cds
Chadong;cdy
Chagatai;chg
Chaima;ciy
Chak;ckh
Chakali;cli
Chakma;ccp
Chala;cll
Chaldean Neo-Aramaic;cld
Chali;tgf
Chalikha;tgf
Chamacoco;ceg
Chamalal;cji
Chamari;cdg
Chamba Daka;ccg
Chamba Leko;ndi
Chambeali;cdh
Chambri;can
Chamicuro;ccc
Chamling;rab
Chamorro;ch
Chané;caj
Chang;nbc
Chango;snq
Changriwa;cga
Changthang;cna
Chantyal;chx
Chara;cra
Chaudangsi;cdn
Chaungtha;ccq
Chaura;crv
Chavacano;cbk
Chayahuita;cbt
Chayuco Mixtec;mih
Chazumba Mixtec;xtb
Che;ruk
Chechen;ce
Cheke Holo;mrn
Chemakum;xch
Chenapian;cjn
Chenchu;cde
Chenoua;cnu
Chepang;cdm
Chepya;ycp
Cheq Wong;cwg
Cherepon;cpn
Cherokee;chr
Chesu;ych
Chetco-Tolowa;ctc
Chetco;ctc
Chewong;cwg
Cheyenne;chy
Chhattisgarhi;hne
Chhintange;ctn
Chhulung;cur
Chiangmai Sign Language;csd
Chiapanec;cip
Chibcha;chb
Chicahuaxtla Triqui;trs
Chichewa;ny
Chichicapan Zapotec;zpv
Chichimeca-Jonaz;pei
Chichonyi-Chidzihana-Chikauma;coh
Chickasaw;cic
Chicomuceltec;cob
Chidigo;dig
Chiduruma;dug
Chigmecatitlán Mixtec;mii
Chilcotin;clc
Chilean Sign Language;csg
Chilisso;clh
Chiltepec Chinantec;csa
Chimalapa Zoque;zoh
Chimariko;cid
Chimila;cbg
Chinali;cih
Chinbon Chin;cnb
Chinese Pidgin English;cpi
Chinese Sign Language;csl
Chinese;\N
Chinook Jargon;chn
Chinook;chh
Chipaya;cap
Chipewyan;chp
Chipiajes;cbe
Chiquihuitlán Mazatec;maq
Chiquitano;cax
Chiricahua;apm
Chiripá;nhd
Chiru;cdf
Chitimacha;ctm
Chitkuli Kinnauri;cik
Chitonga;tog
Chittagonian;ctg
Chitwania Tharu;the
Chiwere;iow
Choapan Zapotec;zpc
Chocangaca;cgk
Chocangacakha;cgk
Chochotec;coz
Choctaw;cho
Chodri;cdi
Chokri Naga;nri
Chokwe;cjk
Chol;ctu
Cholón;cht
Chong;cog
Choni;cda
Chopi;cce
Chorasmian;xco
Chothe Naga;nct
Chrau;crw
Chru;cje
Chuabo;chw
Chuanqiandian Cluster Miao;cqd
Chuave;cjv
Chug;cvg
Chuj;cac
Chuka;cuh
Chukchi;ckt
Chukwa;cuw
Chulym;clw
Chumburung;ncu
Churahi;cdj
Chut;scb
Chuukese;chk
