'Are'are;alu
Dogul Dom;dbg
Doka;dbi
Doko-Uyanga;uya
Dolgan;dlg
Dom;doa
Domaaki;dmk
Domari;rmt
Dominican Sign Language;doq
Dompo;doy
Domu;dof
Domung;dev
Dondo;dok
Dong;doh
Dongo;doo
Dongolawi;kzh
Dongxiang;sce
Donno So Dogon;dds
Doondo;dde
Dori'o;dor
Dorig;wwo
Dorze;doz
Doso;dol
Doteli;dty
Doura;don
Doutai;tds
Doyayo;dow
Drehu;dhv
Drung;duu
Duala;dua
Duano;dup
Duau;dva
Dubu;dmu
Dugun;ndu
Duguri;dbm
Dugwor;dme
Duhwa;kbz
Dulbu;dbo
Duli;duz
Duma;dma
Dumbea;duf
Dumi;dus
Dumpas;dmv
Dumun;dui
Duna;duc
Dungan;dng
Dungra Bhil;duh
Dungu;dbv
Dupaningan Agta;duo
Dura;drq
Duri;mvp
Duriankere;dbn
Duruwa;pci
Dusner;dsn
Dusun Deyah;dun
Dusun Malang;duq
Dusun Witu;duw
Dutch Sign Language;dse
Dutch;nl
Duun;dux
Duupa;dae
Duvle;duv
Duwai;dbp
Duwet;gve
Dwang;nnu
Dyaabugay;dyy
Dyaberdyaber;dyb
Dyan;dya
Dyangadi;dyn
Dyirbal;dbl
Dyugun;dyd
Dyula;dyu
Dzala;dzl
Dzando;dzn
Dzodinka;add
Dzongkha;dz
Dzuun;dnn
E;eee
East Damar;dmr
East Franconian;vmf
East Futuna;fud
East Makian;mky
East Masela;vme
East Nyala;nle
East Yugur;yuy
Eastern Acipa;acp
Eastern Arrernte;aer
Eastern Bolivian Guaraní;gui
Eastern Bontoc;ebk
Eastern Bru;bru
Eastern Canadian Inuktitut;ike
Eastern Cham;cjm
Eastern Durango Nahuatl;azd
Eastern Gorkha Tamang;tge
Eastern Gurung;ggn
Eastern Highland Chatino;cly
Eastern Highland Otomi;otm
Eastern Huasteca Nahuatl;nhe
Eastern Katu;ktv
Eastern Kayah;eky
Eastern Keres;kee
Eastern Lawa;lwl
Eastern Magar;mgp
Eastern Maninkakan;emk
Eastern Mari;mhr
Eastern Meohang;emg
Eastern Min;cdo
Eastern Mnong;mng
Eastern Ngad'a;nea
Eastern Ojibwa;ojg
Eastern Parbate Kham;kif
Eastern Penan;pez
Eastern Pomo;peb
Eastern Pwo;kjp
Eastern Subanun;sfe
Eastern Tamang;taj
Eastern Tawbuid;bnj
Eastern Xwla Gbe;gbx
Ebira;igb
Eblaite;xeb
Ebrié;ebr
Ebughu;ebg
Ecuadorian Sign Language;ecs
Ede Cabe;cbj
Ede Ica;ica
Ede Idaca;idd
Ede Ije;ijj
Ede Nago;nqg
Edera Awyu;awy
Edo;bin
Edolo;etr
Edomite;xdm
Edopi;dbf
Efai;efa
Efe;efe
Efik;efi
Efutop;ofu
Ega;ega
Eggon;ego
Egyptian Arabic;arz
Egyptian;egy
Ehueun;ehu
Eipomek;eip
Eitiep;eit
Ejagham;etu
Ejamat;eja
Ekajuk;eka
Ekari;ekg
Ekele;khy
Eki;eki
Ekit;eke
Ekpeye;ekp
El Alto Zapotec;zpp
El Hugeirat;elh
El Molo;elo
Elamite;elx
Eleme;elm
Elepi;ele
Elfdalian;ovd
Elip;ekm
Elkei;elk
Elotepec Zapotec;zte
Eloyi;afo
Elu;elu
Elymian;xly
Emae;mmw
Emai;ema
Eman;emn
Embaloh;emb
Emberá-Baudó;bdc
Emberá-Catío;cto
Emberá-Chamí;cmi
Emberá-Tadó;tdc
Embu;ebu
Emerillon;eme
Emilian;egl
Emplawas;emw
En;enc
Enawené-Nawé;unk
Ende;end
Enga;enq
Engenni;enn
Enggano;eno
English;en
Enlhet;enl
Enwan;env
Enwang;enw
Enxet;enx
Enya;gey
Eotile;eot
Epena;sja
Epie;epi
Epigraphic Mayan;emy
Eravallan;era
Ere;twp
Eritai;ert
Erokwanas;erw
Erre;err
Erromintxela;emx
Ersu;ers
Eruwa;erh
Erzya;myv
Esan;ish
Ese Ejja;ese
Ese;mcq
Eshtehardi;esh
Esimbi;ags
Eskayan;esy
Esperanto;eo
Esselen;esq
Estado de México Otomi;ots
Estonian Sign Language;eso
Estonian;et
Esuma;esm
Etchemin;etc
Etebi;etb
Eten;etx
Etkywan;ich
Eton (Cameroon);eto
Eton (Vanuatu);etn
Etruscan;ett
Etulo;utr
Evant;bzz
Even;eve
Evenki;evn
Ewe;ee
Ewondo;ewo
Extremaduran;ext
Eyak;eya
Ezaa;eza
Fagani;faf
Faire Atta;azt
Faita;faj
Faiwol;fai
Fakkanci;gel
Fala;fax
Falam Chin;cfm
Fali;fli
Faliscan;xfa
Fam;fam
Fanagalo;fng
Fanamaket;bjp
Fang (Bantu);fan
Fang (Beboid);fak
Fania;fni
Farefare;gur
Faroese;fo
Fas;fqs
Fasu;faa
Fataleka;far
Fataluku;ddg
Fayu;fau
Fe'fe';fmp
Fedan;pdn
Fembe;agl
Fer;kah
Feroge;fer
Fiji Hindi;hif
Fijian;fj
Filomena Mata-Coahuitlán Totonac;tlp
Finisterre Yau;yuw
Finnish-Swedish Sign Language;fss
Finnish Sign Language;fse
Finnish;fi
Finongan;fag
Fipa;fip
Firan;fir
Fiwaga;fiw
Flinders Island;fln
Foau;flh
Foi;foi
Foia Foia;ffi
Folopa;ppo
Foma;fom
Fon;fon
Fongoro;fgr
Foodo;fod
Forak;frq
Fordata;frd
Fore;for
Forest Enets;enf
Fortsenal;frt
Fox;sac
Francisco León Zoque;zos
Franco-Provençal;frp
French Sign Language;fsl
French;fr
Friulian;fur
Fula;ff
Fuliiru;flr
Fulniô;fun
Fum;fum
Fungwa;ula
Fur;fvr
Furu;fuu
Futuna-Aniwa;fut
Fuyug;fuy
Fwâi;fwa
Fwe;fwe
Fyam;pym
Fyer;fie
Ga'anda;gqa
Ga'dang;gdg
Ga;gaa
Gaam;tbi
Gabadi;kbt
Gabi;gbw
Gabri;gab
Gabrielino-Fernandeño;xgf
Gadang;gdk
Gaddang;gad
Gaddi;gbk
Gade;ged
Gadjerawang;gdh
Gadsup;gaj
Gafat;gft
Gagadu;gbu
Gagauz;gag
Gagnoa Bété;btg
Gahri;bfu
Gaikundi;gbf
Gaina;gcn
Gal;gap
Galambu;glo
Galatian;xga
Galela;gbi
Galeya;gar
Galice;gce
Galician;gl
Galindian;xgl
Gallurese;sdn
Galo;adl
Galoli;gal
Gamale Kham;kgj
Gambera;gma
Gamilaraay;kld
Gamit;gbl
Gamkonora;gak
Gamo-Ningi;bte
Gamo;gmv
Gan;gan
Gana;gnq
Ganang;gne
Gandhari;pgd
Gane;gzn
Ganggalida;gcd
Ganglau;ggl
Gants;gao
Ganza;gza
Ganzi;gnz
Gao;gga
Gapapaiwa;pwg
Garawa;wrk
Garhwali;gbm
Garifuna;cab
Garo;grt
Garre;gex
Garus;gyb
Gavak;dmc
Gavião do Jiparaná;gvo
Gawar-Bati;gwt
Gawwada;gwd
Gaya;zra
Gayil;gyl
Gayo;gay
Gbagyi;gbr
Gban;ggu
Gbanu;gbv
Gbanziri;gbg
Gbari;gby
Gbaya-Bossangoa;gbp
Gbaya-Bozoum;gbq
Gbaya-Mbodomo;gmm
Gbayi;gyg
Gbesi Gbe;gbs
Gbii;ggb
Gbin;xgb
Gbiri-Niragu;grh
Gboloo Grebo;gec
Gciriku;diu
Gcwi;gwj
Ge'ez;gez
Ge;hmj
Geba Karen;kvq
Gebe;gei
Gedaged;gdd
Gedeo;drs
Geji;gji
Gela;nlg
Gele';sbc
Geme;geq
Gen;gej
Gende;gaf
Gengle;geg
Georgian;ka
Gera;gew
Gerka;gek
German Sign Language;gsg
German;de
Geruma;gea
Geser-Gorom;ges
Gey;guv
Ghadames;gha
Ghanaian Sign Language;gse
Ghanongga;ghn
Ghari;gri
Ghayavi;bmk
Ghomala';bbj
Ghomara;gho
Ghulfan;ghl
Giangan;bgi
Gibanawa;gib
Gidar;gid
Gikyode;acd
Gilaki;glk
Gilbertese;gil
Gilima;gix
Gimi (Goroka);gim
Gimnime;gmn
Girawa;bbr
Giryama;nyf
Githabul;gih
Gitua;ggt
Gitxsan;git
Glavda;glw
Glosa;igs
Goaria;gig
Gobasi;goi
Godoberi;gdo
Godwari;gdx
Goemai;ank
Gofa;gof
Gogo;gog
Gogodala;ggw
Goguryeo;zkg
Gojri;gju
Gokana;gkn
Gola;gol
Golin;gvf
Golpa;lja
Gondi;gon
Gone Dau;goo
Gong;ugo
Gonja;gjn
Goo;gov
Gooniyandi;gni
Gor;gqr
Gorakor;goc
Gorap;goq
Gorontalo;gor
Gorovu;grq
Gothic;got
Gourmanchéma;gux
Gowro;gwf
Gozarkhani;goz
Grangali;nli
Grass Koiari;kbk
Grebo;grb
Greek;el
Green Hmong;hnj
Greenlandic;kl
Grenadian Creole English;gcl
Gresi;grs
Gros Ventre;ats
Guébie;gie
Gua;gwx
Guahibo;guh
Guajá;gvj
Guajajára;gub
Guambiano;gum
Guanano;gvc
Guaraní;gn
Guarayu;gyr
Guató;gta
Guatemalan Sign Language;gsm
Guayabero;guo
Gude;gde
Gudu;gdu
Guduf-Gava;gdf
Guerrero Amuzgo;amu
Guerrero Nahuatl;ngu
Guevea de Humboldt Zapotec;zpg
Gugadj;ggd
Gugu Badhun;gdc
Guhu-Samane;ghs
Guianese Creole;gcr
Guiberoua Bété;bet
Guinea-Bissau Creole;pov
Guinea Kpelle;gkp
Guinean Sign Language;gus
Gujarati;gu
Gula'alaa;gmb
Gulay;gvl
Gulf Arabic;afb
Gullah;gul
Gumalu;gmu
Gumatj;gnn
Gumawana;gvs
Gumuz;guk
Gun;guw
Gundi;gdi
Gungabula;gyf
Gungu;rub
Gunu;yas
Gunwinggu;gup
Gunya;gyy
Gupa-Abawa;gpa
Gupapuyngu;guf
Gur Lama;las
Guragone;gge
Guramalum;grz
Gurani;hac
Gurgula;ggg
Guriaso;grx
Gurindji Kriol;gjr
Gurindji;gue
Gurmana;gvm
Guro;goa
Guruntum;grd
Gusan;gsn
Gusii;guz
Gusilay;gsl
Guugu Yimidhirr;kky
Guwamu;gwu
Guya;gka
Guyanese Creole English;gyn
Guyani;gvy
Gvoko;ngs
Gwa;gwb
Gwahatike;dah
Gwamhi-Wuri;bga
Gwandara;gwn
Gweda;grw
Gweno;gwe
Gwere;gwr
Gwich'in;gwi
Gyele;gyi
Gyem;gye
Hértevin;hrt
Hän;haa
Habu;hbu
Hadiyya;hdy
Hadothi;hoj
Hadrami;xhd
Hadza;hts
Haeke;aek
Hahon;hah
Haiǁom;hgm
Haida;hai
Haigwai;hgw
Hainanese;hnm
Hainyaxo Bozo;bzx
Haisla;has
Haitian Creole;ht
Haitian Vodoun Culture Language;hvc
Hajong;haj
Hakö;hao
Hakka;hak
Halang;hal
Halbi;hlb
Halia;hla
Halkomelem;hur
Hamba;hba
Hamer-Banna;amf
Hamtai;hmt
Hanga Hundi;wos
Hanga;hag
Hani;hni
Hanoi Sign Language;hab
Hanunoo;hnn
Harari;har
Harijan Kinnauri;kjo
Haroi;hro
Harsusi;hss
Haryanvi;bgc
Harzani;hrz
Hassaniya Arabic;mey
Hattic;xht
Hausa Sign Language;hsl
Hausa;ha
Havasupai-Walapai-Yavapai;yuf
Haveke;hvk
Havu;hav
Hawai'i Pidgin Sign Language;hps
Hawaiian Creole;hwc
Hawaiian;haw
Haya;hay
Hdi;xed
Hebrew;he
Hehe;heh
Heiltsuk;hei
Helong;heg
Hema;nix
Herero;hz
Hermit;llf
Hernican;xhr
Heyo;auk
Hidatsa;hid
Higaonon;mba
Highland Oaxaca Chontal;chd
Highland Popoluca;poi
Highland Puebla Nahuatl;azz
Highland Totonac;tos
Hijazi Arabic;acw
Hiligaynon;hil
Hill Maria;mrr
Hindi;hi
Hinukh;gin
Hiri Motu;ho
Hittite;hit
Hitu;htu
Hiw;hiw
Hixkaryana;hix
Hlai;lic
Hmar;hmr
Hmwaveke;mrk
Ho Chi Minh City Sign Language;hos
Ho;hoc
Hoava;hoa
Hobyót;hoh
Holikachuk;hoi
Holma;hod
Holoholo;hoo
Holu;hol
Homa;hom
Honduran Lenca;len
Honduras Sign Language;hds
Hone;juh
Hopi;hop
Horom;hoe
Hote;hot
Hoti;hti
Hoyahoya;hhy
Hpon;hpo
Hrê;hre
Huachipaeri;hug
Huambisa;hub
Huaorani;auc
Huarijio;var
Huaulu;hud
Huautla Mazatec;mau
Huave;huv
Huaxcaleca Nahuatl;nhq
Huichol;hch
Huilliche;huh
Huitepec Mixtec;mxs
Huizhou;czh
Hukumina;huw
Hula;hul
Hulaulá;huy
Huli;hui
Humene;huf
Hun;uth
Hunde;hke
Hungarian Sign Language;hsh
Hungarian;hu
Hungworo;nat
Hunsrik;hrx
Hunzib;huz
Hupa;hup
Hupdë;jup
Hurrian;xhu
Hutterisch;geh
Hwana;hwo
Hya;hya
Hyam;jab
Iñapari;inp
Iaai;iai
Iamalele;yml
Ibaloi;ibl
Iban;iba
Ibanag;ibg
Ibatan;ivb
Iberian;xib
Ibibio;ibb
Ibino;ibn
Iboko;bkp
Icelandic Sign Language;icl
Icelandic;is
Iceve-Maci;bec
Ida'an;dbj
Idaté;idt
Idesa;ids
Idi;idi
Ido;io
Idoma;idu
Idu;clk
Idun;ldb
Ifè;ife
Ifo;iff
Igala;igl
Igana;igg
Igbo;ig
Igede;ige
Ignaciano;ign
Igo;ahl
Iguta;nar
Igwe;igw
Ihievbe;ihi
Ija-Zuba;vki
Ik;ikx
Ikizu;ikz
Iko;iki
Ikobi-Mena;meb
Ikoma;ntk
Ikpeng;txi
Ikpeshi;ikp
Ikposo;kpo
Ikulu;ikl
Ikwo;iqw
Ila;ilb
Ilgar;ilg
Ili Turki;ili
Ilianen Manobo;mbi
Illyrian;xil
Ilocano;ilo
Ilongot;ilk
Ilue;ilv
Inabaknon;abx
Inapang;mzu
Inari Sami;smn
Indo-Portuguese;idb
Indonesian Bajau;bdl
Indonesian Sign Language;inl
Indonesian;id
Indus Kohistani;mvy
Ineseño;inz
Inga;inb
Ingrian;izh
Ingush;inh
Inonhan;loc
Inor;ior
Interlingua;ia
Interlingue;ie
Interslavic;isv
Intha;int
Inuit Sign Language;iks
Inuktitut;iu
Inupiak;ik
Inuvialuktun;ikt
Ipalapa Amuzgo;azm
Ipulo;ass
Iquito;iqu
Iranun;ill
Iraqi Arabic;acm
Iraqw;irk
Irarutu;irh
Iraya;iry
Iresim;ire
Iriga Bicolano;bto
Irish Sign Language;isg
Irish;ga
Irula;iru
Isan;tts
Isanzu;isn
Isarog Agta;agk
Isconahua;isc
Ishkashimi;isk
Isinai;inn
Islander Creole English;icr
Isnag;isd
Isoko;iso
Israeli Sign Language;isr
Isthmus Mixe;mir
Isthmus Zapotec;zai
Istriot;ist
Istro-Romanian;ruo
Isu;isu
Isubu;szv
Italian Sign Language;ise
Italian;it
Itawit;itv
Itelmen;itl
Itene;ite
Ito;itw
Itsekiri;its
Itu Mbon Uzo;itm
Itundujia Mixtec;mce
Itza';itz
Iu Mien;ium
Ivatan;ivv
Iwaidja;ibd
Iwal;kbm
Ixcatlán Mazatec;mzi
Ixil;ixl
Ixtayutla Mixtec;vmj
Ixtenco Otomi;otz
Iyayu;iya
Iyive;uiv
Iyo'wujwa Chorote;crq
Iyo;nca
Iyojwa'ja Chorote;crt
Izere;izr
Izi;izz
Izon;ijc
Izora;cbo
Júma;jua
Jabem;jae
Jabutí;jbt
Jah Hut;jah
Jahanka;jad
Jair Awyu;awv
Jakaltek;jac
Jakati;jat
Jalapa de Díaz Mazatec;maj
Jalkunan;bxl
Jamaican Country Sign Language;jcs
Jamaican Creole;jam
Jamaican Sign Language;jls
Jamamadí;jaa
Jambi Malay;jax
Jamiltepec Mixtec;mxt
Jaminjung;djd
Jamsay;djm
Jandavra;jnd
Janday;jan
Jangshung;jna
Japanese Sign Language;jsl
Japanese;ja
Japrería;jru
Jaqaru;jqr
Jara;jaf
Jarai;jra
Jarawa;anq
Jaru;ddj
Jassic;ysc
Jaunsari;jns
Javanese;jv
Javindo;jvd
Jawe;jaz
Jaya;jyy
Jeh;jeh
Jeju;jje
Jemez;tow
Jenaama Bozo;bze
Jeng;jeg
Jennu Kurumba;xuj
Jeri Kuo;jek
Jeru;akj
Jibu;jib
Jicarilla;apj
Jiiddu;jii
Jimi;jmi
Jimjimen;jim
Jin;cjy
Jingpho;kac
Jita;jit
Jju;kaj
Jola-Fonyi;dyo
Jola-Kasa;csk
Jorá;jor
Jordanian Sign Language;jos
Jowulu;jow
Juǀ'hoan;ktz
Juang;jun
Juba Arabic;pga
Judeo-Italian;itk
Judeo-Persian;jpr
Judeo-Tat;jdt
Jukun Takum;jbu
Jumjum;jum
Jungle Inga;inj
Jur Modo;bex
Jurúna;jur
Jurchen;juc
Jutish;jut
Juwal;mwb
Juxtlahuaca Mixtec;vmc
Jwira-Pepesa;jwi
K'iche';quc
Kâte;kmg
Kaang Chin;ckn
Kabardian;kbd
Kabatei;xkp
Kabba-Laka;lap
Kabiyé;kbp
Kabore One;onk
Kabras;lkb
Kabuverdianu;kea
Kabwa;cwa
Kabyle;kab
Kachchi;kfr
Kadai;kzd
Kadara;kad
Kadaru;kdu
Kadiwéu;kbc
Kadu (Myanmar);zkd
Kadugli;xtc
Kaera;jka
Kafa;kbr
Kagate;syw
Kagayanen;cgc
Kagulu;kki
Kahe;hka
Kahua;agw
Kaidipang;kzp
Kaiep;kbw
Kaiku;kkq
Kaimbulawa;zka
Kaingang;kgp
Kairak;ckr
Kairiru;kxa
Kais;kzm
Kaitag;xdq
Kaiwá;kgk
Kajakse;ckq
Kajali;xkj
Kajaman;kag
Kakabai;kqf
Kakabe;kke
Kaki Ae;tbd
Kakihum;kxe
Kala Lagaw Ya;mwp
Kala;kcl
Kalabakan;kve
Kalabra;kzz
Kalagan;kqe
Kalaktang Monpa;kkf
Kalami;gwc
Kalanga;kck
Kalarko;kba
Kalasha;kls
Kalenjin;kln
Kalinago;crb
Kalkatungu;ktg
Kalkoti;xka
Kallawaya;caw
Kalmyk;xal
Kalo Finnish Romani;rmf
Kalou;ywa
Kaluli;bco
Kamakan;vkm
Kamang;woi
Kamano;kbq
Kamarian;kzx
Kamasau;kms
Kamassian;xas
Kamayurá;kay
Kamba;kam
Kambaata;ktb
Kambera;xbr
Kamberataro;kbv
Kami;kmi
Kamkata-viri;bsh
Kamta;rkt
Kanakanabu;xnb
Kanakuru;kna
Kanamari;knm
Kandas;kqw
Kandawo;gam
Kande;kbs
Kanga;kcp
Kangean;kkv
Kanggape;igm
Kangjia;kxs
Kango-Sua;kzy
Kango;kty
Kangri;xnr
Kaniet;ktk
Kanikkaran;kev
Kaninuwa;wat
Kanjari;kft
Kanju;kbe
Kankanaey;kne
Kannada;kn
Kannauji;bjj
Kanowit;kxn
Kansa;ksk
Kanufi;kni
Kanuri;kr
Kaonde;kqn
Kap;ykm
Kapampangan;pam
Kapin;tbx
Kapingamarangi;kpg
Kapriman;dju
Kaptiau;kbi
Kaqchikel-K'iche' Mixed Language;ckz
Kaqchikel;cak
Kara (New Guinea);leu
Karachay-Balkar;krc
Karadjeri;gbd
Karaim;kdr
Karajá;kpj
Karakalpak;kaa
Karakhanid;xqa
Karamojong;kdj
Karang;kzr
Karao;kyj
Karata;kpt
Karbi;mjw
Kare (Africa);kbn
Kare (New Guinea);kmf
Karekare;kai
Karelian;krl
Kari'na;car
Kari;kbj
Karingani;kgn
Karipúna Creole French;kmv
Karipuna;kuq
Kariri;kzw
Karitiâna;ktn
Kariyarra;vka
Karkar-Yuri;yuj
Karkin;krb
Karnai;bbv
Karo Batak;btx
Karok;kyh
Kasanga;ccj
Kasem;xsm
Kashaya;kju
Kashmiri;ks
Kashubian;csb
Kaska;kkz
Kaskihá;gva
Kassonke;kao
Kato;ktw
Katukina;knt
Kaure;bpp
Kaurna;zku
Kavalan;ckv
Kavet;krv
Kawésqar;alc
Kawaiisu;xaw
Kaxararí;ktx
Kaxuyana;kbb
Kayabí;kyz
Kayan;pdu
Kayapó;txu
Kayapa Kallahan;kak
Kayardild;gyd
Kayeli;kzl
Kayort;kyv
Kaytetye;gbb
Kazakh;kk
Keapara;khz
Kedah Malay;meo
Kedang;ksx
Keiga;kec
Kein;bmh
Keiyo;eyo
Kela-Yela;kel
Kelabit;kzi
Keley-I Kallahan;ify
Kemak;kem
Kemberano;bzp
Kemezung;dmo
Kemi Sami;sjk
Kenati;gat
Kendayan;knx
Kendem;kvm
Keningau Murut;kxi
Keninjal;knl
Kenswei Nsei;ndb
Kenyang;ken
Kepkiriwát;kpn
Kera;ker
Kereho;xke
Kerek;krk
Kerinci;kvr
Kesawai;xes
Ket;ket
Kewa;kew
Kgalagadi;xkv
Khün;kkh
Khakas;kjh
Khalaj;klj
Khaling;klr
Khamnigan Mongol;ykh
Khamti;kht
Khana;ogo
Khasi;kha
Khazar;zkz
Khengkha;xkf
Khetrani;xhe
Khiamniungan Naga;kix
Khinalug;kjj
Khitan;zkt
Khmer;km
Khmu;kjg
Khoekhoe;naq
Khoini;xkc
Khonso;kxc
Khorasani Turkish;kmz
Khorezmian Turkic;zkh
Khotanese;kho
Khowar;khw
Khumi Chin;cnk
Khvarshi;khv
Khwarezmian;xco
Khwe;xuu
Kibala;blv
Kibena;bez
Kickapoo;kic
Kikai;kzg
Kikami;kcu
Kikuyu;ki
Kildin Sami;sjd
Kilivila;kij
Kiliwa;klb
Kim Mun;mji
Kimaragang;kqr
Kimbundu;kmb
Kinabalian;cbw
Kinaray-a;krj
Kinga;zga
Kinikinao;gqn
Kinnauri;kfk
Kinyarwanda;rw
Kiong;kkm
Kiowa;kio
Kipchak;qwm
Kipfokomo;pkb
Kiput;kyi
Kir-Balar;kkr
Kire;geb
Kirfi;kks
Kirundi;rn
Kirya-Konzel;fkk
Kis;kis
Kisa;lks
Kisan;xis
Kisar;kje
Kistane;gru
Kitembo;tbt
Kitja;gia
Kitsai;kii
Kituba;ktu
Kla;lda
Klallam;clm
Klamath-Modoc;kla
Klingon;tlh
Knaanic;czk
Ko;fuj
Koasati;cku
Kobon;kpw
Koda;cdz
Kodava;kfa
Kodi;kod
Kofei;kpi
Kofyar;kwl
Kohistani Shina;plk
Koho;kpm
Kohumono;bcs
Koibal;zkb
Kok-Nar;gko
Kok-Paponk;okg
Kokborok;trp
Koko-Bera;kkp
Kokola;kzn
Kokota;kkk
Kol (Cameroon);biw
Kolami;kfb
Kolhe;ekl
Kolibugan Subanon;skn
Kolom;klm
Koluwawa;klx
Kom (Cameroon);bkm
Kombio;xbi
Komering;kge
Komi-Permyak;koi
Komi-Zyrian;kpv
Komi-Zyrian;kv
Kominimung;xoi
Komo;xom
Komodo;kvh
Komyandaret;kzv
Konabéré;bbo
Konda-Dora;kfc
Konda;knd
Kondekor;gau
Kongo;kg
Konkani;kok
Konkomba;xon
Kono (Guinea);knu
Kono (Nigeria);klk
Konomala;koa
Konongo;kcz
Konyak Naga;nbe
Koonzime;ozm
Koorete;kqy
Kopkaka;opk
Korana;kqz
Korean;ko
Koreguaje;coe
Koresh-e Rostam;okh
Korku;kfq
Korlai Creole Portuguese;vkp
Koro (Vanuatu);krf
Koro (West Africa);kfo
Koromfé;kfz
Koronadal Blaan;bpr
Korop;krp
Koroshi;ktl
Korra Koraga;kfd
Koryak;kpy
Kosena;kze
Koshin;kid
Kosraean;kos
Kota (Gabon);koq
Kota (India);kfe
Kota Marudu Talantang;grm
Kotava;avk
Koti;eko
Kott;zko
Kou;snz
Kove;kvc
Kowiai;kwh
Koya;kff
Koyo;koh
Koyra Chiini;khq
Koyraboro Senni;ses
Koyukon;koy
Kpala;kpl
Kpan;kpk
Kpasam;pbn
Kpati;koc
Kpelle;kpe
Kraol;rka
Krevinian;zkv
Krio;kri
Krisa;ksi
Kristang;mcm
Krobu;kxb
Krongo;kgo
Krymchak;jct
Kryts;kry
Kubi;kof
Kudmali;kyw
Kugbo;kes
Kugu-Muminh;xmh
Kui (India);kxu
Kuikúro;kui
Kuk;kfn
Kukele;kez
Kukna;kex
Kuku-Mangk;xmq
Kuku-Thaypan;typ
Kuku-Yalanji;gvn
Kulisusu;vkl
Kullu Pahari;kfx
Kulon-Pazeh;uun
Kulon;uon
Kumak;nee
Kumalu;ksl
Kuman;kue
Kumaoni;kfy
Kumarbhag Paharia;kmj
Kumhali;kra
Kumu;kmw
Kumyk;kum
Kumzari;zum
Kuna;cuk
Kunbarlang;wlg
Kunda;kdn
Kundal Shahi;shd
Kung;kfl
Kungarakany;ggk
Kungardutyi;gdt
Kuni;kse
Kunigami;xug
Kunjen;kjn
Kunyi;njx
Kupang Malay;mkn
Kur;kuv
Kuranko;knk
Kurdish;ku
Kuri;nbn
Kuria;kuj
Kurichiya;kfh
Kurnai;unn
Kurrama;vku
Kurtöp;xkz
Kurti;ktm
Kurtjar;gdj
Kuruáya;kyr
Kurudu;kjr
Kurukh;kru
Kusaal;kus
Kusaghe;ksg
Kusunda;kgg
Kutang Ghale;ght
Kutenai;kut
Kuturmi;khj
Kuuk Thaayorre;thd
Kuuk Yak;uky
Kuvale;olu
Kuvi;kxv
Kuwaa;blh
Kuwaataay;cwt
Kuy;kdt
Kven;fkv
Kwa';bko
Kwadi;kwz
Kwaio;kwd
Kwaja;kdz
Kwak'wala;kwk
Kwak;kwq
Kwalhioqua-Tlatskanai;qwt
Kwamera;tnk
Kwamtim One;okk
Kwang;kvi
Kwangali;kwn
Kwanja;knp
Kwanka;bij
Kwanyama;kj
Kwara'ae;kwf
Kwasio;nmg
Kwaya;kya
Kwere;cwe
Kwini;gww
Kwinti;kww
Kyak;bka
Kyenga;tye
Kyrgyz;ky
Lü;khb
Löyöp;urr
Láá Láá Bwamu;bwj
Láadan;ldn
Laal;gdm
Laalaa;cae
Label;lbb
Labo;mwi
Laboya;lmy
Labu;lbu
Labuk-Kinabatangan Kadazan;dtb
Lacandon;lac
Lachiguiri Zapotec;zpa
Lachixío Zapotec;zpl
Ladakhi;lbj
Ladin;lld
Ladino;lad
Laghu;lgb
Lagwan;kot
Lahanan;lhn
Lahnda;lah
Lahu;lhu
Lai;cnh
Lak;lbe
Lakalei;lka
Lake Miwok;lmw
Laki;lki
Lakon;lkn
Lakondê;lkd
Lakota Dida;dic
Lakota;lkt
Lalana Chinantec;cnl
Lama Bai;lay
Lamaholot;slp
Lamang;hia
Lamba;lam
Lambadi;lmn
Lambichhong;lmh
Lame;bma
Lamenu;lmu
Lamogai;lmg
Lampung Api;ljp
Langam;lnm
Lango (Uganda);laj
Lanima;lnw
Lao;lo
Lapaguía-Guivini Zapotec;ztl
Larëvat;lrv
Larantuka Malay;lrt
Lardil;lbz
Larestani;lrl
Larike-Wakasihu;alo
Larteh;lar
Laru;lan
Lashi;lsi
Lasi;lss
Latgalian;ltg
Latin;la
Latundê;ltn
Latvian;lv
Lau;llu
Lauan;llx
Lauje;law
Laurentian;lre
Lavatbura-Lamusong;lbv
Laven;lbo
Lavukaleve;lvk
Lawangan;lbx
Lawi;lvi
Layakha;lya
Laz;lzz
Lealao Chinantec;cle
Ledo Kaili;lew
Legbo;agb
Legenyem;lcc
Lehali;tql
Leipon;lek
Leizhou Min;luh
Lela;dri
Lelak;llk
Lele (Papua New Guinea);lle
Lelepa;lpa
Lemerig;lrz
Lemnian;xle
Lenakel;tnl
Lendu;led
Lengilu;lgi
Lengo;lgr
Lenkau;ler
Lenyima;ldg
Lepcha;lep
Lepontic;xlp
Lesing-Gelimi;let
Letemboi;nms
Leti;lti
Lewo;lww
Leyigha;ayi
Lezgi;lez
Lhao Vo;mhx
Li'o;ljl
Liberia Kpelle;xpe
Liberian Kreyol;lir
Libon Bikol;lbl
Libyan Arabic;ayl
Ligurian;lij
Lihir;lih
Liki;lio
Likum;lib
Lillooet;lil
Limassa;bme
Limbu;lif
Limbum;lmp
