Lower Tanana;taa
Tikar;tik
Tillamook;til
Tindi;tin
Teop;tio
Tiv;tiv
Tiwi;tiw
Southern Tiwa;tix
Tiruray;tiy
Tunjung;tjg
Tai Laing;tjl
Southern Tujia;tjs
Tjurruru;tju
Chaap Wuurong;tjw
Tukudede;tkd
Takwane;tke
Tukumanféd;tkf
Tokelauan;tkl
Tokunoshima;tkn
Tikopia;tkp
Tee;tkq
Tsakhur;tkr
Ramandi;tks
Upper Necaxa Totonac;tku
Mur Pano;tkv
Teanu;tkw
Southwestern Tepehuan;tla
Tobelo;tlb
Misantla Totonac;tlc
Klingon;tlh
Tlingit;tli
Tolomako;tlm
Filomena Mata-Coahuitlán Totonac;tlp
Tambotalo;tls
Taliabu;tlv
Talysh;tly
Avava;tmb
Toba-Maskoy;tmf
Tuareg;tmh
Tutuba;tmi
Northwestern Tamang;tmk
Taman (Indonesia);tmn
Tasmate;tmt
Tamanaku;tmz
Tacana;tna
Tanimuca-Retuarã;tnc
Maiani;tnh
Tandia;tni
Kwamera;tnk
Lenakel;tnl
North Tanna;tnn
Toromono;tno
Whitesands;tnp
Taíno;tnq
Bedik;tnr
Tenis;tns
Tontemboan;tnt
Tanchangya;tnv
Tonsawang;tnw
Tanema;tnx
Ten'edn;tnz
Toba;tob
Coyutla Totonac;toc
Toma;tod
Tonga (Malawi);tog
Tonga (Zambia);toi
Tojolabal;toj
Toki Pona;tok
Tolowa;tol
Tombulu;tom
Xicotepec de Juárez Totonac;too
Papantla Totonac;top
Highland Totonac;tos
Tho;tou
Upper Taromi;tov
Jemez;tow
Azoyú Me'phaa;tpc
Tarpia;tpf
Tok Pisin;tpi
Tupinambá;tpn
Tuparí;tpr
Tampuan;tpu
Old Tupi;tpw
Acatepec Me'phaa;tpx
Tembé;tqb
Lehali;tql
Tenino;tqn
Western Totonac;tqt
Tonkawa;tqw
Copala Triqui;trc
Trinidadian Creole English;trf
Trió;tri
Traveller Scottish;trl
Tarao;tro
Kokborok;trp
San Martín Itunyoso Triqui;trq
Chicahuaxtla Triqui;trs
Tunggare;trt
Turoyo;tru
Taroko;trv
Torwali;trw
Turung;try
Tsakonian;tsd
Tausug;tsg
Tsimshian;tsi
Tshangla;tsj
Thai Sign Language;tsq
Akei;tsr
Tsou;tsu
Tutelo;tta
Bwanabwana;tte
Tuotomb;ttf
Tutong;ttg
Tobati;tti
Tooro;ttj
Totoro;ttk
Totela;ttl
Northern Tutchone;ttm
Isan;tts
Tat;ttt
Wiarumus;tua
Tübatulabal;tub
Mutu;tuc
Tuyuca;tue
Central Tunebo;tuf
Tupuri;tui
Tumbuka;tum
Tunica;tun
Tucano;tuo
Tuscarora;tus
Tututni;tuu
Turkana;tuv
Tuxináwa;tux
Turka;tuz
Vaghua;tva
Te'un;tve
Southeast Ambrym;tvk
Tuvaluan;tvl
Tavoyan;tvn
Tidore;tvo
Taveta;tvs
Taivoan;tvx
Timor Pidgin;tvy
Twana;twa
Teiwa;twe
Taos;twf
Tai Dón;twh
Tawang Monpa;twm
Ere;twp
Southwestern Tarahumara;twr
Turiwára;twt
Termanu;twu
Tombonuo;txa
Tocharian B;txb
Tsetsaut;txc
Totoli;txe
Tangut;txg
Thracian;txh
Ikpeng;txi
Tarjumo;txj
Tomini;txm
West Tarangan;txn
Toto;txo
Tonsea;txs
Kayapó;txu
Tauya;tya
Kyenga;tye
Tai Do;tyj
Kuku-Thaypan;typ
Tai Daeng;tyr
Sapa;tys
Tuvan;tyv
Teke-Tyee;tyx
Tày;tyz
Tzeltal;tzh
Tz'utujil;tzj
Talossan;tzl
Central Atlas Tamazight;tzm
Tzotzil;tzo
Tabriak;tzx
